family,tf,configs,active,share_positive,share_sharpe_gt1,median_sharpe,p90_sharpe,best_sharpe,median_total,share_pmr_ge_08,median_avg_trade_bp
I_DOW,1440,240.0,0.0,,,,,,,,
I_ORB,15,1728.0,1728.0,0.10185185185185185,0.019097222222222224,-2.060649170651351,0.018364796327503694,2.984570764394371,-0.2218955681710213,0.0005787037037037037,-10.888068665317265
I_PDAY_BRK,15,288.0,288.0,0.09027777777777778,0.027777777777777776,-3.2192375318912934,-0.12121997782836944,1.3893960123856623,-0.21352289142669179,0.0,-21.938000544618482
I_PDAY_BRK,60,288.0,288.0,0.11805555555555555,0.006944444444444444,-2.130096817681535,0.04047780331006775,1.2826265239771453,-0.22301108269311953,0.0,-21.862526295599707
M_ACCEL,15,864.0,864.0,0.0,0.0,-6.529669982591612,-2.4213953485001807,-0.06748041576044045,-0.8885709964615671,0.0,-14.615053175199519
M_ACCEL,30,864.0,864.0,0.015046296296296295,0.0,-3.172059783403707,-0.8686968754410073,0.6992711458879618,-0.4059793241212901,0.0,-14.572093543331441
M_ACCEL,60,864.0,864.0,0.1087962962962963,0.003472222222222222,-1.3928846898336396,0.04880517799179555,1.3980627189399468,-0.17466968293774698,0.0011574074074074073,-12.71901347562806
M_ACCEL,1440,864.0,244.0,0.47950819672131145,0.13934426229508196,-0.029921509433969182,1.2760689135913093,2.4497964120569953,-0.004184204277407844,0.004098360655737705,-3.0599451808048794
M_ROC_VOTE,15,1728.0,1728.0,0.005787037037037037,0.0,-4.210003036544373,-1.422954043388087,0.2794685302439699,-0.5165536729762152,0.0,-15.208202638288537
M_ROC_VOTE,30,1728.0,1728.0,0.07175925925925926,0.01099537037037037,-1.827911904360851,-0.2175256136530273,1.8493417872226032,-0.22339802442911605,0.0,-13.959581123793896
M_ROC_VOTE,60,1728.0,1728.0,0.2725694444444444,0.04861111111111111,-0.647544728998189,0.6653547975736841,2.642175122113163,-0.08062701496646696,0.0,-9.887258012223738
M_ROC_VOTE,1440,1728.0,105.0,0.5619047619047619,0.11428571428571428,0.2559793321245349,1.030761665882203,1.9490805109704876,0.04021015844773501,0.0,36.53823977900164
M_TSMOM,15,3888.0,3318.0,0.09132007233273057,0.013562386980108499,-2.530659865626806,-0.07742539128188312,2.3583891783101194,-0.28555568623359306,0.0,-16.252613106005384
M_TSMOM,30,3888.0,3180.0,0.14339622641509434,0.027672955974842768,-1.3429479319283266,0.2382507682445966,2.6167024527351863,-0.162703310438701,0.0,-16.02011605190118
M_TSMOM,60,3888.0,2958.0,0.24171737660581474,0.05544286680189317,-0.7855462880618244,0.644951191060669,2.7645988874121534,-0.09117815760146186,0.0003380662609871535,-15.195274420149076
