tf,configs,active,share_positive,share_sharpe_gt1,median_sharpe,p90_sharpe,best_sharpe,median_total,share_pmr_ge_08,median_avg_trade_bp
1,128814.0,125722.0,0.013346908257902357,0.003635004215650403,-23.02213419004299,-4.495411943755221,2.780156986588041,-2.563410722870344,7.954057364661714e-06,-11.39232242147238
2,118368.0,116234.0,0.013765335444018102,0.0038370872550200458,-14.593492664843431,-3.8774873776131606,2.9603101482172356,-1.4790496267405615,2.581000395753394e-05,-11.473470542807469
3,118368.0,116050.0,0.016785868160275743,0.004549763033175356,-10.511556821450426,-2.803327330586216,2.784867093799135,-1.0092648813924825,6.031882809133994e-05,-11.54033868041294
5,123030.0,119345.0,0.02496124680547991,0.006259164606812183,-6.623498681583618,-1.638349683662268,2.7923442376465237,-0.5974728257315292,5.027441451254766e-05,-11.52091853037607
10,118368.0,114649.0,0.04566982703730517,0.010963898507618907,-3.754779183876273,-0.7412255559178467,2.9607499434281053,-0.325674974993035,0.0001918900295685091,-11.444354249344334
15,123030.0,117938.0,0.0745900388339636,0.016432362766877512,-2.6991414936292757,-0.2569450037955914,3.3525077288399387,-0.2252350559228944,0.0005850531635265987,-11.207858133702144
30,118368.0,112201.0,0.14085435958681294,0.03261111754797194,-1.625206624764985,0.28063466166656953,3.195301268142815,-0.12862197840149747,0.0008288696179178438,-11.038816535099928
60,117738.0,106058.0,0.22304776631654377,0.05943917479115201,-1.042289111383217,0.6603045638189515,3.3290440009293674,-0.08155513631822942,0.0020083350619472364,-10.764018400098328
1440,114522.0,4983.0,0.40598033313265103,0.16797110174593619,-0.27258638680223657,1.4051150114992292,3.4888192257634536,-0.03458214062266052,0.00963275135460566,-21.182194772487918
