direction,configs,active,share_positive,share_sharpe_gt1,median_sharpe,p90_sharpe,best_sharpe,median_total,share_pmr_ge_08,median_avg_trade_bp
-1,361344.0,308736.0,0.1111305451907131,0.029543040008291874,-3.6414162471217244,0.10226196545414157,3.3290440009293674,-0.2801004258362809,0.0007806021973466004,-10.317488946574132
0,358080.0,316378.0,0.05144795150105254,0.013145667524290564,-6.357866252887481,-0.6781688226569927,3.4888192257634536,-0.7229670932974841,0.0004899202852284293,-11.40521698800961
1,361182.0,308066.0,0.04263372134542598,0.009390844818967363,-4.657518688914416,-0.8002706083097892,3.0070414149444296,-0.3915921365733084,0.00021423980575590944,-12.637068192433471
