code,tf,family,group,params,exit,eod,direction,trades,win,pf,avg_trade,hold_bars,total,sharpe,sortino,mdd,pmr,m_min,m_median,m_mean,m_std,score,m202510,m202511,m202512,m202601,m202602,m202603,m202604,m202605,m202606
GAZP,5,R_RSI,meanrev,"{""lo"": 20, ""n"": 2}",X4,True,0,7181,0.6744186046511628,1.346494072187075,0.0001779690284001569,3.6306921041637654,1.2779955913865706,10.621683470000669,29.098725135454345,0.026048291474580765,1.0,0.05549244268331677,0.15637261120718904,0.1419995101540634,0.06360116711890942,0.16991154669833333,0.27179180551320314,0.09747658343985677,0.19583738007349893,0.08278069405059796,0.16268570360261947,0.05549244268331677,0.15637261120718904,0.09137967891001608,0.16417869190627243
GAZP,5,R_RSI,meanrev,"{""lo"": 30, ""n"": 3}",X4,True,0,6164,0.6872160934458144,1.3764257921423353,0.00021755606002531034,4.312297209604153,1.3410155556484824,10.596822422828179,30.122468371297636,0.03890504688024521,1.0,0.07477708644000813,0.16306693269871175,0.14900172840538695,0.037482237163221514,0.3324009427559465,0.18889693650999106,0.13328966702101752,0.20056897596805356,0.12427860806928948,0.16906990768620744,0.07477708644000813,0.16306693269871175,0.11740236745390575,0.1696650738012977
GAZP,5,R_RSI,meanrev,"{""lo"": 30, ""n"": 3}",X1,True,0,6452,0.6484810911345319,1.3210901695515411,0.00018362167222310828,3.593304401735896,1.1847270294747432,10.561312890999076,29.891845169657902,0.024309140630066395,1.0,0.07397694021346979,0.12127582484390587,0.1316363366083048,0.0355749122474148,0.2972252771033229,0.11676008487120271,0.11883050587493926,0.13102982693817466,0.11806772579438984,0.14363726818555733,0.07397694021346979,0.1455418672558153,0.12127582484390587,0.2156069854972884
GAZP,5,R_RSI,meanrev,"{""lo"": 30, ""n"": 3}",X2,True,0,6121,0.6884495997386048,1.3718181731393742,0.00021490935560922883,4.430648586832217,1.3154601671644741,10.55577465499341,29.634522793202816,0.03201872669160366,1.0,0.04702119205603594,0.1306428915268043,0.14616224079605267,0.05352866799261321,0.19450320398398604,0.2266929146135226,0.1027809055740363,0.20304694534570444,0.127297909311892,0.1779251160332933,0.04702119205603594,0.1306428915268043,0.11314481729641557,0.18690747540676966
GAZP,5,R_RSI,meanrev,"{""lo"": 30, ""n"": 3}",X3,True,0,6455,0.6489542989930287,1.3012400205876693,0.00017213900253461962,3.571185127807901,1.1111572631343734,10.54202034734708,28.34797871118064,0.024309140630066395,1.0,0.06072167234378867,0.12013811356155202,0.12346191812604149,0.036495374038282104,0.2680396203835976,0.09732208412606269,0.10381323331966996,0.12899923691293225,0.11456133442698047,0.14080117829144,0.06072167234378867,0.1426510959281586,0.12013811356155202,0.20214931422378868
GAZP,5,R_RSI,meanrev,"{""lo"": 20, ""n"": 2}",X0,True,0,7015,0.6772630078403421,1.3785391648117755,0.00018844994121554155,4.035067712045617,1.3219763427005091,10.530384727335345,27.239647508825072,0.028653671965003014,1.0,0.07176776576670818,0.16793155675986782,0.14688626030005658,0.05694057656406195,0.20922305995027016,0.23270897916518152,0.09440744790481403,0.1878419897693675,0.07176776576670818,0.1871266959933564,0.08784559987179819,0.16793155675986782,0.09053447689802852,0.20181183057138696
GAZP,5,R_RSI,meanrev,"{""lo"": 20, ""n"": 2}",X5,True,0,7016,0.677309007981756,1.3785797987578785,0.00018858476270178126,4.034207525655645,1.3231107003484794,10.524592717307009,27.077321270462956,0.028653671965003014,1.0,0.07176776576670818,0.16793155675986782,0.14701230003871993,0.05712530742878761,0.20857595198474685,0.23270897916518152,0.09440744790481403,0.19136070457170717,0.07176776576670818,0.1871266959933564,0.08784559987179819,0.16793155675986782,0.08987079687358346,0.20009115344146267
GAZP,5,R_RSI,meanrev,"{""lo"": 20, ""n"": 2}",X2,True,0,7175,0.6748432055749128,1.3486359460973445,0.00017890334347039539,3.6773519163763067,1.283631493250141,10.471467915376728,28.139696446465415,0.03427965193986893,1.0,0.04188667837297544,0.14291421859525144,0.14262572147223787,0.07206002291219721,0.13807666890608894,0.2896378281293437,0.07987364882137626,0.1962933162576519,0.08570169794256799,0.1695287071634084,0.04188667837297544,0.14291421859525144,0.09327489859424531,0.1845204993733205
GAZP,5,R_RSI,meanrev,"{""lo"": 20, ""n"": 2}",X3,True,0,7422,0.6492859067636756,1.2982578094221384,0.0001517523075928355,3.097952034492051,1.1263056261414022,10.251773572667785,28.7327814971186,0.01947660744190216,1.0,0.03544536712070112,0.12030515930382535,0.12514506957126692,0.049160065413232604,0.1814890791712437,0.1857198002981022,0.10250612354138866,0.15183417178923264,0.0775788106257096,0.12030515930382535,0.03544536712070112,0.15407669794512913,0.10193969530519098,0.1968998002121225
GAZP,5,R_RSI,meanrev,"{""lo"": 20, ""n"": 2}",X1,True,0,7420,0.6490566037735849,1.3140115685748202,0.0001598432085587817,3.1129380053908355,1.1860366132641502,10.189794186793204,30.063117093364486,0.01947660744190216,1.0,0.04155829492447083,0.12245942902518436,0.1317818459182389,0.051085198108683214,0.18424917178380035,0.2061135140247643,0.11988888011546806,0.16242608451284468,0.07869967317674309,0.12245942902518436,0.04155829492447083,0.15278537553967908,0.10282003530301154,0.19928532664198428
