code,tf,family,group,params,exit,eod,direction,trades,win,pf,avg_trade,hold_bars,total,sharpe,sortino,mdd,pmr,m_min,m_median,m_mean,m_std,score,m202510,m202511,m202512,m202601,m202602,m202603,m202604,m202605,m202606
ALRS,60,X_LEADLAG,cross,"{""a"": ""GD"", ""n"": 12, ""z"": 2.0, ""mode"": ""follow"", ""hold"": 3}",T,True,-1,30,0.6333333333333333,6.2372764212445215,0.004452718141411005,3.8,0.1335815453894611,3.439918018514107,17.60022997654006,0.005552161019295454,0.8888888888888888,-0.002694122027605772,0.01240555290132761,0.014842393932162344,0.014976049609670037,0.01754373069149303,0.023903211200376973,0.001602785661816597,0.02397165820002556,0.01240555290132761,-0.002694122027605772,0.014940493663743837,0.0044363983906805515,0.005883453588467091,0.04913211381062865
ALRS,60,X_LEADLAG,cross,"{""a"": ""GD"", ""n"": 12, ""z"": 2.0, ""mode"": ""follow"", ""hold"": 12}",T,True,-1,24,0.7916666666666666,6.206632642246221,0.007590435212912988,9.916666666666666,0.18217044562334195,3.0603024861269854,9.018014268913602,0.022636424517259,0.7777777777777778,-0.007776487618684769,0.01901430793805048,0.020241160624815773,0.019127809678646343,-0.005198464376856893,0.053389329463243484,0.010251410771161318,0.02910601906478405,0.01906665787100792,-0.007776487618684769,-0.0037648711586371064,0.01728941034525633,0.01901430793805048,0.045594668947160244
RN,60,X_LEADLAG,cross,"{""a"": ""MX"", ""n"": 3, ""z"": 1.0, ""mode"": ""fade"", ""hold"": 12}",T,True,-1,93,0.6236559139784946,2.773095000872113,0.0034956510489417866,9.161290322580646,0.3250955475741648,3.013705560966775,7.125110837598787,0.040091080707497895,0.8888888888888888,-0.0033797911601141095,0.014695921054226346,0.03612172750824053,0.04327497489758299,0.000616349841843146,0.03494162857532501,-0.0033797911601141095,0.05015058885328472,0.005009133470593952,0.014695921054226346,0.005102758608700242,0.06922350043896586,0.00895631778985262,0.14039548994333018
AFLT,60,X_LEADLAG,cross,"{""a"": ""GD"", ""n"": 12, ""z"": 2.0, ""mode"": ""follow"", ""hold"": 12}",T,True,-1,24,0.7083333333333334,6.369128727167977,0.005728827193316997,9.666666666666666,0.13749185090819083,2.8543503366553127,11.04498163547467,0.012391258031129837,0.8888888888888888,-0.004498251713812351,0.01581921416800469,0.015276872323132315,0.014324053081399555,0.024117738919043147,0.035720414480238105,0.003918985370546579,0.02605416439473629,0.0002211857063230127,-0.004498251713812351,0.01581921416800469,0.006274755112826824,0.016743062064051628,0.03723832132527605
RN,60,X_LEADLAG,cross,"{""a"": ""GD"", ""n"": 12, ""z"": 2.0, ""mode"": ""follow"", ""hold"": 12}",T,True,-1,24,0.6666666666666666,4.83057790081155,0.0063193752752497175,9.583333333333334,0.15166500717168674,2.846280666807077,6.873181556936896,0.02387036383152008,0.7777777777777778,-0.004609899595379829,0.01342151639983058,0.01685166746352075,0.017462784163096396,-0.01055446557867093,0.05028389557264745,-0.001598444941919297,0.018982021138072014,-0.004609899595379829,0.004714121110737324,0.04121380532160401,0.009206753922626376,0.01342151639983058,0.020051238243468106
ALRS,60,X_LEADLAG,cross,"{""a"": ""GD"", ""n"": 12, ""z"": 1.0, ""mode"": ""follow"", ""hold"": 12}",T,True,-1,70,0.5285714285714286,2.3160804511279154,0.00331081617213682,9.614285714285714,0.2317571290586784,2.732586273217206,5.545140349316629,0.048268784303218126,0.6666666666666666,-0.010766674589831382,0.007145036535803229,0.025750792117630934,0.04018579449888172,-0.06507717026668883,0.03628078132169321,0.00427841850250843,-0.0022382549941539764,0.007145036535803229,-0.010121221363078803,-0.010766674589831382,0.030972649110481143,0.05339484853902832,0.12281154599622823
MX,60,X_LEADLAG,cross,"{""a"": ""GD"", ""n"": 12, ""z"": 2.0, ""mode"": ""follow"", ""hold"": 12}",T,True,-1,23,0.6956521739130435,4.532842707686933,0.004652522064928952,9.869565217391305,0.10700800776157848,2.671146794081186,9.403308466773035,0.008057291619479656,0.7777777777777778,-0.008057291619479656,0.010600321926176548,0.011889778640175387,0.014229360861418596,-0.027878594281811823,0.034047993016429245,-0.003932365856599063,0.019059056416153908,0.010600321926176548,-0.008057291619479656,0.03400037554092705,0.003861111587866617,0.0033995744306594133,0.014029232319444418
ROSN,60,X_LEADLAG,cross,"{""a"": ""GD"", ""n"": 12, ""z"": 2.0, ""mode"": ""follow"", ""hold"": 12}",T,True,-1,25,0.76,3.9341222096824304,0.005652555243860309,9.72,0.14131388050009264,2.6368194530935916,5.512462975199533,0.029699308332055807,0.8888888888888888,-0.003316383110359311,0.009452078957110643,0.01570154227778807,0.013550980831838307,0.02067287488273529,0.0339328283953364,-0.003316383110359311,0.020556047558784485,0.0034034475684165955,0.00458280136808753,0.033084648195654154,0.007867875508964062,0.009452078957110643,0.03175053605809808
ALRS,60,X_LEADLAG,cross,"{""a"": ""GD"", ""n"": 6, ""z"": 1.0, ""mode"": ""fade"", ""hold"": 12}",T,True,-1,128,0.5703125,1.8004195929132099,0.0029985289592234622,10.2421875,0.383811712035822,2.624404042223028,5.018094615724938,0.10352028725901619,0.5555555555555556,-0.03954886959400028,0.022357203473802656,0.042645745781758,0.07121638362864166,-0.09567324948224819,-0.003434815225773491,-0.03954886959400028,-0.002440640644636005,0.03610674453739193,-0.027519535506144166,0.022357203473802656,0.11613516850047745,0.09323655243497342,0.18891990405973047
ALRS,60,X_LEADLAG,cross,"{""a"": ""GD"", ""n"": 12, ""z"": 1.0, ""mode"": ""fade"", ""hold"": 12}",T,True,-1,105,0.5619047619047619,1.9102282785729578,0.002945203055265698,10.571428571428571,0.3092463207080982,2.6014417691328124,5.103370805209127,0.050906502816360444,0.8888888888888888,-0.0014482855331152678,0.025495432122170314,0.0343607023008998,0.03090441166863416,0.02756217341076477,0.047966305748559535,0.025495432122170314,0.0020287178340367973,0.012909120458061807,-0.0014482855331152678,0.02511053445050493,0.026389429112896323,0.09503091953229159,0.07576414698269218
MGNT,60,X_LEADLAG,cross,"{""a"": ""GD"", ""n"": 12, ""z"": 1.0, ""mode"": ""follow"", ""hold"": 12}",T,True,-1,69,0.5507246376811594,2.2340868421174567,0.003204495577985079,9.826086956521738,0.2211101907887496,2.5778954111830648,5.7731423596642975,0.035686961869942024,0.6666666666666666,-0.023753751418553293,0.012456061434932053,0.024567798976527735,0.040935569921590746,-0.0743840254902835,-0.023753751418553293,0.00833830371266231,-0.010274998057866469,0.012456061434932053,-0.008896378451026976,0.028232083335751668,0.042967125424183905,0.053635453688912094,0.11840629111975431
ALRS,60,X_LEADLAG,cross,"{""a"": ""GD"", ""n"": 3, ""z"": 1.0, ""mode"": ""fade"", ""hold"": 12}",T,True,-1,154,0.5324675324675324,1.6446174304507206,0.0023740184746135116,10.435064935064934,0.3655988458685897,2.563580498057113,4.719610567399177,0.1219720511817286,0.6666666666666666,-0.036324812827842834,0.06050151235831436,0.04062209398539886,0.055157054374950026,-0.05149214340623297,0.06050151235831436,-0.027788390966634324,-0.036324812827842834,-0.0114172844478162,0.008029593009268865,0.08021991793066263,0.1272327173501253,0.079022096702829,0.0861234967596829
MGNT,60,X_LEADLAG,cross,"{""a"": ""SBER"", ""n"": 1, ""z"": 1.0, ""mode"": ""fade"", ""hold"": 12}",T,True,-1,166,0.6024096385542169,1.609614613885816,0.0024562821604776435,11.120481927710843,0.4077428437740309,2.560262458102163,4.062612538142642,0.09616621499299072,0.5555555555555556,-0.024522215040633455,0.013034578296355903,0.045304760419336766,0.07086906331517259,-0.09100167946750065,0.09507980648777448,-0.024522215040633455,-0.01220831973478198,-0.011033584334654734,-0.01632524246815592,0.04878773866221309,0.13143542398756836,0.013034578296355903,0.18349465791834518
MGNT,60,X_LEADLAG,cross,"{""a"": ""SBER"", ""n"": 3, ""z"": 1.0, ""mode"": ""fade"", ""hold"": 12}",T,True,-1,129,0.5891472868217055,1.7249625721816364,0.0027596384208319713,10.48062015503876,0.35599335795268416,2.4916943618273555,4.1697509072723316,0.08624186387169175,0.6666666666666666,-0.042102971812710166,0.02005640559946187,0.039554817550298244,0.06850854411508876,-0.07614054838669475,0.08372638607397676,-0.003293824993306771,-0.019926096545532346,0.0020761211053468287,-0.042102971812710166,0.02005640559946187,0.08999744313769042,0.03146132017718628,0.1939985752105713
GZ,60,X_LEADLAG,cross,"{""a"": ""GD"", ""n"": 12, ""z"": 2.0, ""mode"": ""follow"", ""hold"": 12}",T,True,-1,23,0.6521739130434783,3.7153359997533473,0.005114392263124666,9.869565217391305,0.11763102258555591,2.4750740996510774,7.341993422967742,0.01859699684428051,0.7777777777777778,-0.006926093250513077,0.008241704665124416,0.013070113620617323,0.015468648431842981,-0.02945205234180244,0.028286014741752297,-0.006926093250513077,0.024746591225266457,0.008241704665124416,-0.005272095091640949,0.01619741477770731,0.0029257400892674923,0.006797811947762966,0.042633933480829
NVTK,60,X_LEADLAG,cross,"{""a"": ""MX"", ""n"": 3, ""z"": 2.0, ""mode"": ""fade"", ""hold"": 3}",T,True,-1,26,0.6923076923076923,3.354210184304928,0.002909191725390329,3.923076923076923,0.07563898469379637,2.472375947161987,6.335799104749004,0.014983497094362974,0.6666666666666666,-0.002544534858316183,0.0023232444655150175,0.008404331632644042,0.01391850679340708,-0.06353872233758143,0.0023232444655150175,-0.001628825906664133,0.01552199898287654,0.007371852523647249,0.0014268746599555016,0.04466653686540667,0.008501837961375713,0.0,-0.002544534858316183
MGNT,60,X_LEADLAG,cross,"{""a"": ""MX"", ""n"": 3, ""z"": 2.0, ""mode"": ""follow"", ""hold"": 12}",T,True,-1,32,0.59375,3.4453554642206026,0.005475327471913897,8.9375,0.1752104798797518,2.4675675937588015,6.848438370778851,0.026867104694247246,0.7777777777777778,-0.004482656018808484,0.010578718269243836,0.0194678310977502,0.029204533889987276,-0.03182760249786386,0.026349566993303597,0.0020742842461913824,-0.00041528360452502966,0.010578718269243836,0.005120635498315096,0.01797052746405825,0.02064434700878337,-0.004482656018808484,0.09737034002318978
GMKN,60,X_LEADLAG,cross,"{""a"": ""GD"", ""n"": 6, ""z"": 2.0, ""mode"": ""follow"", ""hold"": 12}",T,True,-1,29,0.6551724137931034,3.265143605587647,0.0037553037775741966,7.551724137931035,0.10890380965975055,2.4588495196873277,5.200962059598186,0.02359667792916298,0.7777777777777778,-0.011881334707140923,0.014360736240632832,0.012100423295527839,0.015065165450388603,-0.032515878186405583,0.03528177796397358,-0.008039488959184382,0.014360736240632832,-0.011881334707140923,0.01859721696928318,0.028149029589258134,0.0035103035625070333,0.022669188678264618,0.006256380322156474
MGNT,60,X_LEADLAG,cross,"{""a"": ""SR"", ""n"": 3, ""z"": 1.0, ""mode"": ""follow"", ""hold"": 12}",T,True,-1,87,0.5517241379310345,1.9380950943441768,0.0029851154071220774,9.931034482758621,0.2597050415643025,2.4145223001175125,4.819458911237416,0.05769938608864322,0.7777777777777778,-0.053810336685273796,0.0156625168165192,0.028856115729366947,0.059821410585283695,-0.0678344965747016,0.046136404387652874,0.0010698925470933318,-0.01689383201301098,0.0156625168165192,0.003098574932664633,0.049756120453821495,0.041710310673806816,-0.053810336685273796,0.17297539045102894
SR,60,X_LEADLAG,cross,"{""a"": ""GD"", ""n"": 12, ""z"": 2.0, ""mode"": ""follow"", ""hold"": 12}",T,True,-1,23,0.6086956521739131,3.5924172043848706,0.003061624855936456,9.869565217391305,0.07041737213876331,2.378870541349833,6.858805812643216,0.008250337094068527,0.7777777777777778,-0.0034626913256943226,0.002958667930215597,0.00782415245986259,0.00964254098602354,-0.0325219434589088,0.024163317633792758,-0.0034626913256943226,0.015382219105958939,0.006768067833036184,0.002958667930215597,0.022219633334316313,0.002541457513871137,-0.000601764302700758,0.00044846441596746445
