tf,configs,active,share_positive,share_sharpe_gt1,median_sharpe,p90_sharpe,best_sharpe,median_total,share_pmr_ge_08,median_avg_trade_bp
15,50400.0,46711.0,0.07372995654128578,0.013487187172186423,-2.838130593208479,-0.25144990323744215,2.984570764394371,-0.282852633503353,0.000556614073772773,-14.480769111357592
30,47736.0,43471.0,0.14197971061167214,0.027811644544638955,-1.5162799163682392,0.2511389526713558,3.234687969824609,-0.14975733064784436,0.0005060845161141911,-13.836664830369468
60,47376.0,40272.0,0.24841080651569328,0.05450437028208184,-0.8369398744695833,0.6641900237106936,3.4917615732223948,-0.08276121727976715,0.0012415574096146206,-13.340505908511345
1440,45816.0,5478.0,0.4218692953632713,0.12413289521723257,-0.20820714744981855,1.1390181141554714,3.080476511678849,-0.033062188245821744,0.00529390288426433,-21.665764411014607
