tf,configs,active,share_positive,share_sharpe_gt1,median_sharpe,p90_sharpe,best_sharpe,median_total,share_pmr_ge_08,median_avg_trade_bp
5,14088.0,14073.0,0.001989625524053151,0.00042634832658281814,-11.133115703608137,-4.221540765255161,1.9247296070759876,-0.9860751220271595,0.0,-11.486170368623746
15,14088.0,14017.0,0.01562388528215738,0.0021402582578297783,-4.2467423650918485,-1.416638311801771,2.197487933644672,-0.34592441820859676,0.0,-11.48255701656688
60,14088.0,13638.0,0.13535709048247543,0.03145622525296964,-1.5643004940862129,0.2626973107982791,3.439918018514107,-0.1088061977752659,0.0008798944126704796,-12.378399743594818
1440,648.0,0.0,,,,,,,,
