exit,configs,active,share_positive,share_sharpe_gt1,median_sharpe,p90_sharpe,best_sharpe,median_total,share_pmr_ge_08,median_avg_trade_bp
X0,186222.0,154447.0,0.09813075035449054,0.025102462333357074,-3.0258091573605492,-0.017703937644029475,3.3525077288399387,-0.3346124403678914,0.0008093391260432381,-11.123329715099244
X1,179964.0,156936.0,0.06755620125401438,0.017026048835193965,-4.895923205961486,-0.4340160500952685,3.264260020258554,-0.45120502474128443,0.00022939287352806239,-11.601879748953754
X2,177246.0,153689.0,0.09069614611325469,0.02434787135058462,-3.730806191415112,-0.10184441691655205,3.0736289028687427,-0.39094914177258033,0.0006116247747073635,-11.282007774195822
X3,179964.0,157092.0,0.03621444758485474,0.008389988032490515,-7.434587397202083,-1.0842905883963871,3.4888192257634536,-0.5259430991370664,0.00031828482672574033,-11.569613181568911
X4,180018.0,156967.0,0.05531098893397975,0.014111246312919276,-5.874744265816353,-0.609619711780007,3.0736289028687427,-0.4841926153021632,0.00045869513974274847,-11.612786434904608
X5,177192.0,154049.0,0.0626618803108102,0.015248394991204098,-4.915515874235579,-0.43455979741915024,3.1612189301305302,-0.44987318126368336,0.0005517724879746055,-11.104001177465726
