code,configs,active,share_positive,share_sharpe_gt1,median_sharpe,p90_sharpe,best_sharpe,median_total,share_pmr_ge_08,median_avg_trade_bp
LKOH,15944.0,11384.0,0.23445186226282502,0.04708362614195362,-1.141153623617729,0.6019992830263848,3.234687969824609,-0.11318242077140894,0.0,-11.486553206012395
PLZL,15944.0,11371.0,0.2327851552194178,0.05083106147216604,-1.166029067961989,0.6119651051904734,3.032780634124961,-0.1252157230846933,0.0020226892973353268,-12.134719456192213
NVTK,15944.0,11497.0,0.15038705749325912,0.018961468209098026,-1.204006670204838,0.23018862373623689,2.9618770862448893,-0.13702174922946142,0.0007828129077150561,-12.738251617622419
ROSN,15944.0,11327.0,0.1887525381831023,0.047408846119890526,-1.2414813580559605,0.532392387891168,3.4917615732223948,-0.14416442591755185,0.0010594155557517436,-13.154796241501101
GMKN,15944.0,11418.0,0.17087055526361886,0.02531091259414959,-1.2476781380300923,0.346808539951615,3.330396686183097,-0.13791520102859067,0.0007006480994920302,-13.286053836848652
TATN,15944.0,11421.0,0.1420190876455652,0.016636021364153753,-1.2955300578456204,0.22973314207282114,2.504800399902898,-0.1724291050904867,0.0007880220646178094,-15.408713589296116
VTBR,15944.0,11321.0,0.1902658775726526,0.03683420192562494,-1.2986799098036896,0.4489037259461273,2.6214537057110343,-0.11888441042174236,0.0007066513558872891,-11.762897435320248
GAZP,15944.0,11474.0,0.11582708732787171,0.01734355935157748,-1.5750494273051405,0.08967122147328613,2.4567551381193953,-0.1481713809134817,0.0005229213874847481,-14.51651618128478
MGNT,15944.0,11008.0,0.1478015988372093,0.050872093023255814,-1.9517634351792523,0.39284137154087834,3.455145121308918,-0.19432363179475942,0.0006359011627906977,-16.8996214350804
AFLT,15944.0,11345.0,0.10868223887174967,0.01886293521375055,-1.9814435432591881,0.07460962633670017,3.080476511678849,-0.22768204050589702,0.0002644336712208021,-20.386395316348825
ALRS,15944.0,10963.0,0.17476967983216274,0.06385113563805528,-2.281955219468691,0.6244840291726479,3.193227338055354,-0.23599957648730197,0.0008209431724892822,-20.935468097583147
SBER,15944.0,11403.0,0.08032973778830133,0.024204156800841883,-2.444008223656502,-0.22005830977224175,2.9574670409769626,-0.15115988197067054,0.0028939752696658773,-13.421016258040114
