group,family,configs,active,share_positive,share_sharpe_gt1,median_sharpe,p90_sharpe,best_sharpe,median_total,share_pmr_ge_08,median_avg_trade_bp
meanrev,R_RSI,34560.0,23097.0,0.6462311122656622,0.39463999653634674,0.5700672070421763,3.0646602572219703,10.621683470000669,0.034663916052522836,0.13915227085768714,0.8324592947972684
intraday,I_ORB,6048.0,6048.0,0.658068783068783,0.3505291005291005,0.5257518954810823,2.1288531923465923,4.720773757936826,0.04674780684778569,0.060515873015873016,1.8822019507264016
volatility,V_NR_BREAK,6480.0,4875.0,0.5696410256410256,0.37046153846153845,0.3235923295883698,2.7995498375631445,8.615946618160601,0.03976847249577986,0.09456410256410257,0.6932694484264106
volatility,V_REGIME_TREND,12960.0,9244.0,0.5917351795759411,0.2864560796192125,0.3038936132282207,1.7829606198069412,3.8468993406246086,0.01800594406449818,0.011575075724794461,1.4901843319309884
meanrev,R_GAP_FADE,3402.0,594.0,0.5841750841750841,0.2676767676767677,0.21957655816548166,1.6439512102432372,2.4815456384289107,0.00830367102753371,0.0,5.589404440779328
trend,T_MTF,17280.0,12627.0,0.5531796943058526,0.25524669359309415,0.1764464428554356,1.6433507531860005,3.6304439091594425,0.015010283270385116,0.015522293498059713,0.5154076319250076
volatility,V_SQUEEZE,17280.0,12075.0,0.5436853002070393,0.2656728778467909,0.16602662364165835,1.7447286559221935,3.933315817843692,0.00638558004720835,0.010351966873706004,0.718174421660802
momentum,M_ROC_VOTE,17280.0,13088.0,0.5206295843520783,0.23341992665036676,0.0729427784930346,1.6790907293205652,3.8574628280398673,0.007266977183462586,0.024984718826405867,0.18692900109983446
trend,T_KELTNER,19440.0,14696.0,0.521842678279804,0.21835873707131193,0.07035660116691363,1.6216616133996877,4.553907871150103,0.006185421731061069,0.020277626565051714,0.22444207601272134
volume,U_OBV,4320.0,3233.0,0.5140736158366842,0.24064336529539126,0.055656917838497154,1.6470293138444736,4.266262697715646,0.00683863737503998,0.018558614290133002,0.13656503465875705
trend,T_DONCH_STOP,10800.0,8268.0,0.5130624092888244,0.23887276245766811,0.051559156047292845,1.8134837296545703,5.586616838019467,0.0052270335727371275,0.03229317851959362,0.16549748546663398
volatility,V_RANGE_EXP,12960.0,9476.0,0.5139299282397636,0.22340650063317855,0.041538476731409306,1.6471458634414862,5.98476765168389,0.0036858691419183742,0.03218657661460532,0.1653496545429843
trend,T_HMA,10800.0,8188.0,0.5004885197850513,0.243771372740596,0.0031733351600572793,1.7576980225136434,6.245509534119712,0.0003411665093153715,0.021372740595994137,0.0018839248144351826
seasonal,I_DOW,420.0,90.0,0.5,0.18888888888888888,0.0,1.545896043891385,2.20402468253009,0.0,0.011111111111111112,0.0
volume,U_SIGNED_VOL,25920.0,17880.0,0.4948545861297539,0.20799776286353466,-0.01704405596085709,1.5917304650215574,4.959253620045035,-0.0010766325067379512,0.026118568232662193,-0.03833436103650846
meanrev,R_MA_DEV,19440.0,14704.0,0.49510337323177367,0.24109085963003266,-0.017254903771837894,1.9616985325865572,7.354358847135183,-0.0013079647123959148,0.06358813928182808,-0.05860322850298734
momentum,M_ACCEL,8640.0,6689.0,0.49319778741216924,0.2073553595455225,-0.019515660033539994,1.6122639146179902,3.625851626479063,-0.0022715896196814356,0.019434893108087905,-0.03863924735404096
momentum,M_TSMOM,38880.0,28259.0,0.4937188152447008,0.21462189037120918,-0.024189916708932762,1.5746938082982485,5.8860765850124235,-0.0022405985073419288,0.016773417318376446,-0.08291426790666387
volume,U_VOL_BREAK,8640.0,6462.0,0.48885793871866295,0.18198700092850512,-0.03414118453871602,1.4023678902175882,3.8202302758690854,-0.0028095107554690912,0.01423707830393067,-0.11592344622720163
trend,T_EMA_X,36720.0,26778.0,0.4902531929195608,0.2098737769811039,-0.03463598533380112,1.5258874869900436,4.426126328461645,-0.0025044534845619637,0.014489506311150945,-0.15138664392353166
meanrev,R_EXTREME,25920.0,16541.0,0.4864881204280273,0.2088749168732241,-0.04451919101082121,1.599196226130619,5.451802449067729,-0.0018990095923072658,0.03397618040021764,-0.17475430808791126
trend,T_SUPERTREND,19440.0,14343.0,0.4834413999860559,0.21250784354737504,-0.06252703819097774,1.5202496460515098,4.254614798677988,-0.00617967295251276,0.01966115875339887,-0.23171389520194804
trend,T_PRICE_MA,21600.0,16848.0,0.46124169040835705,0.18714387464387464,-0.12921631528565056,1.4625480934180142,4.298056625316307,-0.012029668058858078,0.013295346628679962,-0.2805688736401888
meanrev,R_VOLSPIKE_FADE,6480.0,6110.0,0.4590834697217676,0.1585924713584288,-0.13743364128226965,1.3214661253754971,4.139231951657297,-0.00607945465890225,0.01342062193126023,-0.5181102132604335
trend,T_DONCH,10800.0,8149.0,0.4584611608786354,0.1789176586084182,-0.14123076377132432,1.429227713056254,3.864306516956565,-0.012640422864933498,0.014480304331819856,-0.47399339190008877
meanrev,R_BB,34560.0,24163.0,0.45817986177213094,0.2133427140669619,-0.14705591512466817,1.7888195629807049,7.584030388027705,-0.010015734700573375,0.056491329718991845,-0.42844804368081757
trend,T_ADX,12960.0,9581.0,0.44494311658490765,0.16647531572904709,-0.1924364435331342,1.3435685321222794,3.4309743095426612,-0.013484428927768022,0.009289218244442125,-0.6632432153733142
meanrev,R_BB_LIMIT,19440.0,14985.0,0.41948615281948615,0.1738405071738405,-0.2389931135488999,1.4945332626941608,5.63106620151504,-0.024146650881903042,0.048114781448114784,-0.3689484720454126
meanrev,R_VWAP,4536.0,4532.0,0.352603706972639,0.12025595763459841,-0.47799611268371045,1.1328501757581215,4.705198561618956,-0.025951461866497993,0.018976169461606355,-2.0050339281748744
volume,U_BAR_PRESSURE,8640.0,5211.0,0.3511801957397812,0.12339282287468815,-0.5528932265660963,1.1546849088545783,3.0607414039342964,-0.024796109901785712,0.0028785261945883708,-1.0109269777415577
intraday,I_PDAY_BRK,1512.0,1463.0,0.33766233766233766,0.1722488038277512,-0.723262377381595,1.485366262255436,3.5500586678628485,-0.04828717280179262,0.00888585099111415,-4.908980886825747
carry,C_CARRY,162.0,2.0,0.0,0.0,-0.8243571133087875,-0.6982654280988427,-0.6667425067963566,-0.22222911726021266,0.0,-222.22911726457755
