sharpe_from,count
-10.0,9971
-9.5,690
-9.0,740
-8.5,793
-8.0,796
-7.5,871
-7.0,952
-6.5,1115
-6.0,1135
-5.5,1321
-5.0,1456
-4.5,1754
-4.0,1912
-3.5,2178
-3.0,2450
-2.5,2632
-2.0,2641
-1.5,2549
-1.0,2070
-0.5,1609
0.0,1013
0.5,615
1.0,305
1.5,118
2.0,29
2.5,10
3.0,3
3.5,0
4.0,0
4.5,0
5.0,0
5.5,0
6.0,0
6.5,0
7.0,0
7.5,0
8.0,0
8.5,0
9.0,0
9.5,0
