sharpe_from,count
-10.0,0
-9.5,0
-9.0,1
-8.5,5
-8.0,9
-7.5,18
-7.0,36
-6.5,88
-6.0,140
-5.5,313
-5.0,654
-4.5,1166
-4.0,2170
-3.5,4106
-3.0,7702
-2.5,13222
-2.0,21226
-1.5,31616
-1.0,41845
-0.5,49031
0.0,50327
0.5,44808
1.0,34490
1.5,21139
2.0,11802
2.5,6224
3.0,2874
3.5,1409
4.0,631
4.5,402
5.0,287
5.5,221
6.0,139
6.5,69
7.0,45
7.5,23
8.0,19
8.5,16
9.0,13
9.5,13
