,C1_TREND_FUT_ENS,C2_TREND_ALL_ENS,C3_XSMOM_EQ_ENS,C4_CARRY_FX,C5_TREND_FUT_LONGONLY,C6_WF_PANEL_SHARPE_K10_SMOOTH,C7_WF_PANEL_SORTINO_K1,C8_WF_PANEL_FLOOR_K5,C9_META_RP
202510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202511,-0.019778916415430996,-0.029693086912511248,-0.03901082700207573,0.04641722374177569,-0.0009155111858198117,0.0,0.0,0.0,0.0
202512,-0.03230143258455751,-0.024317643603044496,-0.053056010383113215,-0.002939673930179739,-0.02012926864031141,0.0,0.0,0.0,-0.046893077591553395
202601,0.04427963696224094,0.02849606005694201,-0.0017863935965287611,0.026101072861305752,0.06023258264998327,0.016597873155768588,0.0,0.00972565681843238,0.0307172530287477
202602,-0.019021604545015267,-0.013730568229882514,-0.016774449146674128,-0.00595441740910768,-0.008382355542027748,-0.00988965541689872,0.001139543018613175,-0.014097143438658423,-0.014043946792314523
202603,-0.010742487379416377,0.0019003504070490207,-0.019506119648486017,-0.04347453453855895,0.024493523848950254,-0.0164330373074189,0.025852389134228607,-0.03512956900928806,-0.03162458329670251
202604,0.00899317601301485,0.019180661383345718,0.03373074314253067,0.04267041457254248,-0.02553141214646577,0.023229866482038057,0.06177446574205703,0.03149983213707502,0.04013206578182072
202605,0.01896553947496895,0.010911930881147117,0.0065180924898370195,0.04617017586083986,-0.024046109669638025,0.03930769286927862,0.010434533724692769,0.004460363671028374,0.04131307331999482
202606,0.09081810260995297,0.07266103503408433,-0.008758502227257901,-0.06418981736028118,0.0038588437800829824,0.05058743175744686,0.036156661843563316,0.05284465727033421,0.0024004817497794463
202607,0.009399112224470962,0.018360393649843567,-0.04252110353581352,0.003654847694602661,0.0008032562932710685,-0.0028094971904842215,0.0037177979738839337,0.005213432659727198,-0.022557946216779885
202608,0.0077885848226011845,7.122889049590662e-05,0.01792130753202855,-0.050118021475522724,0.03915262118582507,-0.005321990518937406,0.0002760500268596455,-0.0054490081915207645,-0.00916597498932233
202609,-0.010417256959281224,-0.00594278051371333,0.014953835136764536,0.009356839053802104,0.013636569797849024,-0.0004615969755758472,-0.011033642584310306,-0.008118195374572677,0.010873174614540142
