candidate,capital,lev,weight_error_median,zero_position_share,margin_mean,margin_max,ret_total_integer,ret_total_fractional
C1_TREND_FUT_ENS,1000000.0,1.0,0.3100707710762257,0.3492450073063809,0.0944817562896696,0.2807355877460723,0.12543193102213585,0.08798245422354845
C1_TREND_FUT_ENS,1000000.0,2.0,0.1610560614004418,0.21870433511933757,0.1937514497160443,0.5690390513095127,0.19841900010968455,0.1759649084470969
C1_TREND_FUT_ENS,1000000.0,4.0,0.08243636978585914,0.12323429128105212,0.39409950449468867,1.206778699884759,0.3507829097305655,0.3519298168941938
C1_TREND_FUT_ENS,3000000.0,1.0,0.12137463081857428,0.1631758402338042,0.09829137301928849,0.2940387240490493,0.09483576894698637,0.08798245422354845
C1_TREND_FUT_ENS,3000000.0,2.0,0.05896185993547216,0.08134437408670239,0.19758530618633716,0.5808432709284583,0.16706676096935794,0.1759649084470969
C1_TREND_FUT_ENS,3000000.0,4.0,0.02708498365055259,0.03507062834875792,0.3966109373510676,1.1737517056691924,0.3377089045178163,0.3519298168941938
C1_TREND_FUT_ENS,10000000.0,1.0,0.03346689424652226,0.04042864101315149,0.09927340296993876,0.2916901857577364,0.08470341450013061,0.08798245422354845
C1_TREND_FUT_ENS,10000000.0,2.0,0.017677527709344693,0.02143205065757428,0.1982313023683952,0.5878717302590171,0.17786621099545857,0.1759649084470969
C1_TREND_FUT_ENS,10000000.0,4.0,0.008001082582747898,0.0063321967851924016,0.39706608284896716,1.1738129052310304,0.3366575550283337,0.3519298168941938
C1_TREND_FUT_ENS,30000000.0,1.0,0.010800975744211214,0.01607403799318071,0.09919470850115668,0.29318730533891785,0.08420474665933496,0.08798245422354845
C1_TREND_FUT_ENS,30000000.0,2.0,0.0059082876566401024,0.0,0.1983674297228864,0.5859354228766561,0.17400897770148427,0.1759649084470969
C1_TREND_FUT_ENS,30000000.0,4.0,0.0028509123859802457,0.0,0.3968012601262863,1.1716407869126872,0.3434613580845974,0.3519298168941938
