candidate,risk_per_trade,leverage_vs_vt10,ann_vol,hist_m_mean,hist_m_median,hist_m_min,hist_mdd,hist_total,mc_monthly_median,mc_mdd_median,mc_mdd_p95,p_dd10,p_dd20,p_dd30,p_dd50,p_dd70,p_ruin,p_loss_year
C1_TREND_FUT_ENS,0.001,0.06383006598026411,0.0063830065980264115,0.0005102912985491915,0.0004965490155894869,-0.002063121812853952,0.0051592611269594135,0.0056027486962879625,0.0004797263717564171,0.006134574666525117,0.011828833319617973,0.0,0.0,0.0,0.0,0.0,0.0,0.228
C1_TREND_FUT_ENS,0.0025,0.15957516495066026,0.015957516495066028,0.0012747866218402787,0.0012391310903001607,-0.005162712539626857,0.012862708030492054,0.013956258297360247,0.0011903522114404819,0.015295430892174056,0.029375172778314494,0.0,0.0,0.0,0.0,0.0,0.0,0.22966
C1_TREND_FUT_ENS,0.005,0.31915032990132053,0.031915032990132056,0.00254635991238675,0.002470773667918147,-0.010341576357609461,0.02560761246166099,0.02773741254333051,0.002350299353246932,0.030448510046053257,0.058111492993412936,0.00042,0.0,0.0,0.0,0.0,0.0,0.2323
C1_TREND_FUT_ENS,0.0075,0.47872549485198074,0.047872549485198077,0.003814577826451711,0.003694895887682348,-0.015536200086708085,0.03823536115470971,0.04133148904726269,0.0034787092028896183,0.04546457379306773,0.08619798904212585,0.01862,0.0,0.0,0.0,0.0,0.0,0.23568
C1_TREND_FUT_ENS,0.01,0.6383006598026411,0.06383006598026411,0.005079294924094626,0.004911466000265152,-0.020746192434538013,0.050746601482989706,0.05472654463249027,0.004575692697077471,0.060347769340409585,0.11365750755363342,0.09818,0.00018,0.0,0.0,0.0,0.0,0.23832
C1_TREND_FUT_ENS,0.015,0.9574509897039615,0.09574509897039615,0.007597627886316652,0.007321823390903814,-0.031210718395652814,0.07542214398590008,0.08087206926835111,0.006674893586444242,0.08970667863136705,0.16667665512157745,0.38844,0.01302,4e-05,0.0,0.0,0.0,0.24408
C1_TREND_FUT_ENS,0.02,1.2766013196052821,0.12766013196052822,0.01010012708043172,0.009701593794613883,-0.04173202669225373,0.09963940848264052,0.10607966386682,0.008655085950923791,0.11850935662915846,0.21716120198963157,0.6795,0.08114,0.00302,0.0,0.0,0.0,0.25058
C1_TREND_FUT_ENS,0.03,1.914901979407923,0.1914901979407923,0.015052423229785243,0.014368373429720638,-0.06293249801803902,0.14671973185952714,0.15331192767777946,0.012221149880488946,0.17460151318748002,0.3113109097845248,0.95074,0.3554,0.0631,0.00014,0.0,0.0,0.26244
C1_TREND_FUT_ENS,0.05,3.1915032990132053,0.31915032990132053,0.02470671891168522,0.02332397854271706,-0.10587772215277436,0.23560738394463887,0.23260482610779554,0.017872122428781667,0.2802633688280845,0.4730342387122708,0.99972,0.84688,0.42104,0.03086,0.00012,0.0,0.28938
C1_TREND_FUT_ENS,0.075,4.7872549485198075,0.4787254948519808,0.036175324960955504,0.033269892922634936,-0.16032507467728419,0.33725096356228335,0.29704573800427414,0.022055040660458713,0.40024562215864123,0.6315058787244113,1.0,0.99038,0.82424,0.2316,0.01408,0.0,0.32324
