candidate,target_vol_ann,leverage_vs_vt10,approx_risk_per_trade,hist_total,hist_mdd,hist_m_median,hist_m_min,hist_m_max,hist_pmr,hist_ruin,mc_final_median,mc_final_p05,mc_final_p95,mc_p_loss,mc_mdd_median,mc_mdd_p95,mc_monthly_median,mc_min_month_median,mc_pmr_median,mc_p_all_months_positive,mc_p_ruin,mc_p_dd_gt_10,mc_p_dd_gt_20,mc_p_dd_gt_30,mc_p_dd_gt_50,mc_p_dd_gt_70
C1_TREND_FUT_ENS,0.05,0.5,0.007833299125126977,0.04312907134618338,0.03991007222372234,0.003857525587241506,-0.01622991509459526,0.045941697426232775,0.5454545454545454,False,1.0443975368221554,0.9486623402958341,1.166752742622723,0.23608,0.04745507272615984,0.08988496712792815,0.003626576788563929,-0.02096039232316388,0.5833333333333334,0.00064,0.0,0.02554,0.0,0.0,0.0,0.0
C1_TREND_FUT_ENS,0.1,1.0,0.015666598250253953,0.08428896687075893,0.07867714449876562,0.007640866125515178,-0.032610203287792294,0.09293363182619818,0.5454545454545454,False,1.0866375871142915,0.8967592402739326,1.3546948323723111,0.24502,0.09357461297684028,0.17354937861091796,0.006948038562274439,-0.04180208028331578,0.5833333333333334,0.00064,0.0,0.4313,0.01824,0.00014,0.0,0.0
C1_TREND_FUT_ENS,0.15,1.4999999999999998,0.023499897375380926,0.12311665044959574,0.11632109560406856,0.011349051551059697,-0.049128837558371496,0.14095123023396838,0.5454545454545454,False,1.1262134641787633,0.844383038665922,1.5657329874304713,0.2547,0.13838611396335943,0.25120826005620855,0.009954308543943746,-0.0625299884454022,0.5,0.00056,0.0,0.82344,0.16064,0.01206,0.0,0.0
C1_TREND_FUT_ENS,0.2,2.0,0.03133319650050791,0.15925870386726637,0.1528617495652954,0.014981121390810204,-0.06577381203688848,0.18996723615501,0.5454545454545454,False,1.1629163345198716,0.7925140055132143,1.8020957814664225,0.26386,0.18190179261239947,0.323090427311752,0.012657008026272232,-0.08312591693709037,0.5,0.00052,0.0,0.9637,0.39694,0.08022,0.00032,0.0
C1_TREND_FUT_ENS,0.3,2.9999999999999996,0.04699979475076185,0.22214993866908128,0.222712154778954,0.022013121923042167,-0.09939492450007725,0.2908718306396554,0.5454545454545454,False,1.22647430813343,0.6910569961084978,2.3548215339490066,0.28494,0.26499559443216536,0.450885254597303,0.017157497389812093,-0.1238340426959223,0.5,0.00044,0.0,0.99926,0.80072,0.3594,0.01972,2e-05
C1_TREND_FUT_ENS,0.4,4.0,0.06266639300101581,0.27051345173332386,0.2883856455687709,0.028729385540513963,-0.13337829833530424,0.39537454668392114,0.5454545454545454,False,1.2739817488086396,0.5944321205842221,3.022724649606243,0.30644,0.34264349809183076,0.5590581446127839,0.02038390703500692,-0.1640359614604711,0.5,0.0004,0.0,1.0,0.95626,0.65714,0.11182,0.00254
C1_TREND_FUT_ENS,0.6,5.999999999999999,0.0939995895015237,0.3162700576654178,0.4078247121331805,0.03782053152113818,-0.20205603215152945,0.6138599212641882,0.5454545454545454,False,1.3139026606844293,0.42062877737840293,4.729653979253731,0.35072,0.4827409999934661,0.7250145994765524,0.02301091163687241,-0.24238064653654612,0.5,0.00032,6e-05,1.0,0.9991,0.94684,0.45024,0.07242
C1_TREND_FUT_ENS,0.8,8.0,0.12533278600203163,0.28811296360099603,0.5124096278852934,0.04175105726362882,-0.27106995838914805,0.8423475301426124,0.5454545454545454,False,1.2747690112957948,0.2788282220079814,6.906159064062932,0.3983,0.6024357166475511,0.8357121045856086,0.020436438042765515,-0.31806928833501247,0.5,0.00022,0.00406,1.0,0.99998,0.99546,0.75816,0.26512
C1_TREND_FUT_ENS,1.0,10.0,0.15666598250253955,0.1890124448557493,0.6033435031723635,0.04114363693080891,-0.3397126426637582,1.0770586443588148,0.5454545454545454,False,1.1607521971668513,0.1732227611051737,9.428838324449696,0.45064,0.702570867791148,0.9070613223487295,0.012499831319110699,-0.3911836732140923,0.5,0.0002,0.02916,1.0,1.0,0.99968,0.91746,0.50628
C1_TREND_FUT_ENS,1.5,15.0,0.2349989737538093,-0.25903293722882936,0.8204844025237331,0.019381544242622173,-0.5054170611973168,1.6604729683270731,0.5454545454545454,False,0.6838136501529679,0.03822868791384599,15.528837044770686,0.583,0.8773638342811512,0.983081142368803,-0.031176167134515875,-0.559270647503257,0.4166666666666667,6e-05,0.23358,1.0,1.0,1.0,0.99746,0.90136
