candidate,target_monthly,required_leverage_vs_vt10,required_ann_vol,required_risk_per_trade,hist_mdd,hist_m_min,hist_total,hist_ruin,mc_monthly_median,mc_mdd_median,mc_mdd_p95,p_ruin,p_dd50,feasible,note
C4_CARRY_FX,1.0,1423.476175214502,142.34761752145022,17.9945902419767,1.0,-1.0,-1.0,True,-1.0,1.0,1.0,1.0,1.0,False,
C5_TREND_FUT_LONGONLY,0.05,8.668597315819126,0.8668597315819127,0.13219356901969023,0.6098723173763778,-0.2284903577850136,0.03728974172893729,False,0.0027640867773326416,0.6195117699126071,0.8482088082096315,0.00562,0.79416,False,
C5_TREND_FUT_LONGONLY,0.1,17.33719463163825,1.7337194631638253,0.26438713803938046,0.9012114817260601,-0.5161844415196798,-0.6537637474786256,False,-0.09191534957122527,0.9250677884806664,0.992719240058553,0.38594,0.99948,False,
C5_TREND_FUT_LONGONLY,0.15,26.005791947457375,2.6005791947457375,0.39658070705907067,0.9943376487225646,-0.7848667932349473,-0.9816024862732159,True,-0.30208636151449086,0.9971511033153743,0.9999780635753316,0.84896,1.0,False,
C5_TREND_FUT_LONGONLY,0.2,34.6743892632765,3.4674389263276506,0.5287742760787609,1.0,-1.0,-1.0,True,-1.0,1.0,1.0,0.98026,1.0,False,
C5_TREND_FUT_LONGONLY,0.3,52.01158389491475,5.201158389491475,0.7931614141181413,1.0,-1.0,-1.0,True,-1.0,1.0,1.0,0.9994,1.0,False,
C5_TREND_FUT_LONGONLY,0.5,86.68597315819126,8.668597315819126,1.3219356901969024,1.0,-1.0,-1.0,True,-1.0,1.0,1.0,1.0,1.0,False,
C5_TREND_FUT_LONGONLY,0.7,121.36036242146774,12.136036242146774,1.850709966275663,1.0,-1.0,-1.0,True,-1.0,1.0,1.0,1.0,1.0,False,
C5_TREND_FUT_LONGONLY,1.0,173.37194631638252,17.33719463163825,2.6438713803938048,1.0,-1.0,-1.0,True,-1.0,1.0,1.0,1.0,1.0,False,
C6_WF_PANEL_SHARPE_K10_SMOOTH,0.05,4.269321188826631,0.42693211888266314,0.05708542231091754,0.22671927237938216,-0.07152540430152421,0.39936843646738684,False,0.04119713040227713,0.26304972403442745,0.44009130968775667,0.0,0.01698,True,
C6_WF_PANEL_SHARPE_K10_SMOOTH,0.1,8.538642377653263,0.8538642377653263,0.11417084462183508,0.41783501631935605,-0.1450568004829791,0.7107572567861735,False,0.06647077258467626,0.47846685694196,0.7142630491699695,6e-05,0.43454,True,
