strategy,year,month,start_equity,end_equity,monthly_return,max_drawdown,active_days,win_rate_days,profit_factor_days
C1_TREND_FUT_ENS,2025,10,1.0,1.0,0.0,0.0,0,0.0,inf
C1_TREND_FUT_ENS,2025,11,1.0,0.9797753767135319,-0.020224623286468124,0.04413567147989461,17,0.35294117647058826,0.6860306811831552
C1_TREND_FUT_ENS,2025,12,0.9797753767135319,0.94782470250253,-0.03261020328779263,0.04552882771850165,22,0.4090909090909091,0.631695612008302
C1_TREND_FUT_ENS,2026,1,0.94782470250253,0.9892391339412403,0.043694188734862305,0.03289390856928156,19,0.631578947368421,1.666906687788122
C1_TREND_FUT_ENS,2026,2,0.9892391339412403,0.9704009579793034,-0.019043096169157336,0.019909350140906765,20,0.6,0.5120155473742772
C1_TREND_FUT_ENS,2026,3,0.9704009579793034,0.9595160550063161,-0.011216912847709093,0.0288466822834756,22,0.5,0.8279754010508638
C1_TREND_FUT_ENS,2026,4,0.9595160550063161,0.9679246526396214,0.008763373566740285,0.013584095781743402,22,0.6363636363636364,1.2497152958886433
C1_TREND_FUT_ENS,2026,5,0.9679246526396214,0.9861418792239993,0.01882091393653207,0.01861493008219899,21,0.6190476190476191,1.51070892214173
C1_TREND_FUT_ENS,2026,6,0.9861418792239993,1.0777876255561976,0.09293363182619818,0.0274641177048205,22,0.7272727272727273,2.3700114574755626
C1_TREND_FUT_ENS,2026,7,1.0777876255561976,1.0873823786437424,0.008902266884529775,0.032103483320145725,23,0.5652173913043478,1.1798567356070302
C1_TREND_FUT_ENS,2026,8,1.0873823786437424,1.0956909218262025,0.0076408661255142896,0.011292070181737777,21,0.5714285714285714,1.2577297250587258
C1_TREND_FUT_ENS,2026,9,1.0956909218262025,1.0842889668707598,-0.010406178173347436,0.015281035046812632,18,0.3333333333333333,0.5153330473085971
C2_TREND_ALL_ENS,2025,10,1.0,1.0,0.0,0.0,0,0.0,inf
C2_TREND_ALL_ENS,2025,11,1.0,0.9701437369983056,-0.029856263001694416,0.04486222326542888,17,0.29411764705882354,0.5703598190375669
C2_TREND_ALL_ENS,2025,12,0.9701437369983056,0.946279622237045,-0.024598535094498386,0.026549052341448807,23,0.4782608695652174,0.6952817926041496
C2_TREND_ALL_ENS,2026,1,0.946279622237045,0.9723307830776645,0.027530087543292447,0.03038356764884303,21,0.6190476190476191,1.4099887123231385
C2_TREND_ALL_ENS,2026,2,0.9723307830776645,0.9589851371560397,-0.013725417475092705,0.013725417475092748,20,0.55,0.5387616217400726
C2_TREND_ALL_ENS,2026,3,0.9589851371560397,0.960076770004415,0.0011383209249860027,0.03700961957287412,22,0.6363636363636364,1.0309376517317685
C2_TREND_ALL_ENS,2026,4,0.960076770004415,0.9783662129560438,0.019049979671463824,0.013169024659061165,22,0.5454545454545454,1.5308159169712416
C2_TREND_ALL_ENS,2026,5,0.9783662129560438,0.9888413514301092,0.010706766377812427,0.02584607881043873,21,0.5238095238095238,1.2845503344266762
C2_TREND_ALL_ENS,2026,6,0.9888413514301092,1.0608068403283901,0.0727775884313504,0.03001292534410962,22,0.6818181818181818,1.8159563590034487
C2_TREND_ALL_ENS,2026,7,1.0608068403283901,1.0796498452073555,0.017762899109070807,0.03890070334741353,23,0.5652173913043478,1.3553933335156887
