rank,strategy_id,family,instruments,annual_return,avg_monthly_return,max_drawdown,min_monthly_return,sharpe,profitable_month_ratio,walk_forward_result,holdout_result,evidence
260,LIB_011,P_BRK,FUT,-0.07894039495563811,-0.006526156990380135,0.36333736971880626,-0.09598640620242804,-0.27098914647432576,0.5,(in-sample конфигурация) 2026-01..06: +11.2%,2026-07..09: -1.0%,"library {""n"": 5, ""vn"": 20}"
261,LIB_139,P_XS_REV,FUT,-0.07982129212868162,-0.006572586554246603,0.26492729675373994,-0.12021947634639218,-0.35545378740389033,0.5,(in-sample конфигурация) 2026-01..06: -18.9%,2026-07..09: +5.9%,"library {""hold"": 5, ""k"": 2, ""n"": 10}"
262,LIB_305,P_TSMOM_L,EQ,-0.0822924472164692,-0.006776064602149745,0.19979559989269546,-0.09759773710038644,-0.3834251591259278,0.5,(in-sample конфигурация) 2026-01..06: -7.7%,2026-07..09: +7.3%,"library {""n"": 10, ""vn"": 20}"
263,LIB_166,P_XS_REV,FUT,-0.08293851649642561,-0.006549509834439959,0.21079320926219225,-0.09748984966427088,-0.3730566792945877,0.5,(in-sample конфигурация) 2026-01..06: -1.2%,2026-07..09: -4.0%,"library {""hold"": 1, ""k"": 3, ""n"": 60}"
264,LIB_232,P_XS_MOM,EQ,-0.08380048248626742,-0.006617577783637784,0.18461428222528298,-0.03505141720233951,-0.4191552417027885,0.4,(in-sample конфигурация) 2026-01..06: -8.5%,2026-07..09: +3.5%,"library {""hold"": 1, ""k"": 3, ""n"": 60}"
265,LIB_152,P_XS_MOM,FUT,-0.08685700950649577,-0.006864690896842755,0.208625829374796,-0.07420017704498605,-0.3884265954370731,0.3333333333333333,(in-sample конфигурация) 2026-01..06: +8.7%,2026-07..09: -14.0%,"library {""hold"": 1, ""k"": 3, ""n"": 20}"
266,LIB_319,P_EMA_L,EQ,-0.08722541056197952,-0.0072110954498991004,0.20722359547653468,-0.05444351353798993,-0.44492573015759773,0.4166666666666667,(in-sample конфигурация) 2026-01..06: -7.2%,2026-07..09: -0.8%,"library {""f"": 10, ""s"": 50, ""vn"": 20}"
267,LIB_265,P_BRK_L,FUT,-0.08863738767230188,-0.007327826361797444,0.22909440760486177,-0.08209600103145931,-0.46521571024641845,0.3333333333333333,(in-sample конфигурация) 2026-01..06: -5.8%,2026-07..09: +4.7%,"library {""n"": 5, ""vn"": 20}"
268,LIB_057,P_EMA,EQ,-0.08875987579977727,-0.007364636159433179,0.3266862296150066,-0.06820472789695486,-0.24834694656182982,0.36363636363636365,(in-sample конфигурация) 2026-01..06: +3.2%,2026-07..09: -0.4%,"library {""f"": 20, ""s"": 100, ""vn"": 60}"
269,LIB_143,P_XS_REV,FUT,-0.0897910967076489,-0.007393512923348074,0.27516154665499926,-0.09776273835450411,-0.3908676320850447,0.4166666666666667,(in-sample конфигурация) 2026-01..06: -19.7%,2026-07..09: +3.3%,"library {""hold"": 5, ""k"": 3, ""n"": 10}"
270,LIB_311,P_TSMOM_L,EQ,-0.09062780841164778,-0.007156719791237265,0.20451749619678594,-0.06287465913919732,-0.4093337286901471,0.3,(in-sample конфигурация) 2026-01..06: -7.1%,2026-07..09: +1.7%,"library {""n"": 60, ""vn"": 20}"
271,LIB_155,P_XS_REV,FUT,-0.0913834860155049,-0.007222438213527009,0.2349898631000542,-0.12451074904674897,-0.40531241183193034,0.5,(in-sample конфигурация) 2026-01..06: -19.2%,2026-07..09: +5.6%,"library {""hold"": 5, ""k"": 3, ""n"": 20}"
272,LIB_154,P_XS_REV,FUT,-0.09167676055051335,-0.007245616987953933,0.2798098125276738,-0.1218410863657482,-0.41130980956634855,0.5,(in-sample конфигурация) 2026-01..06: -19.0%,2026-07..09: +10.8%,"library {""hold"": 1, ""k"": 3, ""n"": 20}"
