rank,strategy_id,family,instruments,profitable_month_ratio,min_monthly_return,median_monthly_return,monthly_return_std,max_drawdown,longest_losing_month_streak,walk_forward_result,holdout_result,evidence
420,LIB_175,P_XS_REV,EQ,0.08333333333333333,-0.1317385691218078,-0.03242279372352641,0.05424306502402711,0.5450361919538409,9.0,(in-sample конфигурация) 2026-01..06: -47.3%,2026-07..09: +1.4%,"library {""hold"": 5, ""k"": 3, ""n"": 1}"
421,LIB_211,P_XS_REV,EQ,0.08333333333333333,-0.145788096007891,-0.03901166938885581,0.04781904841616612,0.5697368325127172,9.0,(in-sample конфигурация) 2026-01..06: -44.3%,2026-07..09: -0.3%,"library {""hold"": 5, ""k"": 3, ""n"": 10}"
422,LIB_189,P_XS_MOM,EQ,0.08333333333333333,-0.14751362788956612,-0.036141477612545714,0.050771529244768306,0.4526106004996109,6.0,(in-sample конфигурация) 2026-01..06: -17.4%,2026-07..09: -16.8%,"library {""hold"": 5, ""k"": 4, ""n"": 3}"
423,LIB_210,P_XS_REV,EQ,0.08333333333333333,-0.14906994759803638,-0.04244150187878404,0.04649206432183507,0.6192008388534305,9.0,(in-sample конфигурация) 2026-01..06: -47.5%,2026-07..09: -5.8%,"library {""hold"": 1, ""k"": 3, ""n"": 10}"
424,LIB_215,P_XS_REV,EQ,0.08333333333333333,-0.1567037187924143,-0.044605512488487875,0.057131962204961244,0.6295822663802255,9.0,(in-sample конфигурация) 2026-01..06: -49.0%,2026-07..09: -1.5%,"library {""hold"": 5, ""k"": 4, ""n"": 10}"
425,LIB_178,P_XS_REV,EQ,0.08333333333333333,-0.19893169865645177,-0.07260893050261075,0.06028590318437865,1.0529698295049457,11.0,(in-sample конфигурация) 2026-01..06: -73.6%,2026-07..09: -20.5%,"library {""hold"": 1, ""k"": 4, ""n"": 1}"
426,LIB_198,P_XS_REV,EQ,0.08333333333333333,-0.21632042596684187,-0.04283628113626037,0.05538094810832784,0.6431512587914767,11.0,(in-sample конфигурация) 2026-01..06: -47.2%,2026-07..09: -11.1%,"library {""hold"": 1, ""k"": 3, ""n"": 5}"
427,LIB_174,P_XS_REV,EQ,0.08333333333333333,-0.22899531217990443,-0.0763904586492572,0.05975908877572259,1.0387605609557795,11.0,(in-sample конфигурация) 2026-01..06: -70.8%,2026-07..09: -23.4%,"library {""hold"": 1, ""k"": 3, ""n"": 1}"
428,LIB_186,P_XS_REV,EQ,0.0,-0.0899868061781035,-0.04602569442795357,0.02756381032515397,0.5676816562929616,12.0,(in-sample конфигурация) 2026-01..06: -29.8%,2026-07..09: -15.6%,"library {""hold"": 1, ""k"": 3, ""n"": 3}"
429,LIB_343,P_TSMOM_L,EQ,0.0,-0.1069491652015131,-0.0500389676890336,0.03900805829635446,0.3428958251934091,7.0,(in-sample конфигурация) 2026-01..06: -31.9%,2026-07..09: -2.2%,"library {""n"": 120, ""vn"": 60}"
430,LIB_207,P_XS_REV,EQ,0.0,-0.1148000672692433,-0.021903377579292282,0.03412887967020917,0.4537160874906476,12.0,(in-sample конфигурация) 2026-01..06: -30.8%,2026-07..09: -7.8%,"library {""hold"": 5, ""k"": 2, ""n"": 10}"
431,LIB_313,P_TSMOM_L,EQ,0.0,-0.12331607821397483,-0.04253894096473232,0.04566792244188993,0.38304663883536705,7.0,(in-sample конфигурация) 2026-01..06: -35.6%,2026-07..09: -2.5%,"library {""n"": 120, ""vn"": 20}"
432,LIB_214,P_XS_REV,EQ,0.0,-0.200641960487701,-0.05097352793018217,0.04935359306823201,0.815604009287199,12.0,(in-sample конфигурация) 2026-01..06: -55.1%,2026-07..09: -12.2%,"library {""hold"": 1, ""k"": 4, ""n"": 10}"
433,LIB_202,P_XS_REV,EQ,0.0,-0.22632922339835204,-0.04369759192195488,0.05727466411001134,0.6691171481215861,12.0,(in-sample конфигурация) 2026-01..06: -51.6%,2026-07..09: -8.3%,"library {""hold"": 1, ""k"": 4, ""n"": 5}"
