rank,strategy_id,family,instruments,timeframe,avg_monthly_return,median_monthly_return,min_monthly_return,profitable_month_ratio,annual_return,max_drawdown,profit_factor,sharpe,sortino,calmar,trades,walk_forward_result,holdout_result,evidence
353,LIB_074,P_EMA,ALL,1d,-0.030317319621038525,-0.010662955231964588,-0.2361689362442121,0.5,-0.36671829813608203,0.4455015257735795,0.8195997641880018,-1.053179971659636,-1.3074205101429632,-0.8231583438447346,250.0,(in-sample конфигурация) 2026-01..06: -7.5%,2026-07..09: -6.4%,"library {""f"": 50, ""s"": 200, ""vn"": 20}"
354,LIB_135,P_XS_REV,FUT,1d,-0.0212478768192265,-0.014159104975988157,-0.14308304595761,0.4166666666666667,-0.2580465040214495,0.3828022326233622,0.809673257898156,-1.2573958658410622,-1.7044845318185509,-0.6740987435027334,245.0,(in-sample конфигурация) 2026-01..06: -31.0%,2026-07..09: -1.2%,"library {""hold"": 5, ""k"": 1, ""n"": 10}"
355,LIB_303,P_TSMOM_L,EQ,1d,-0.016240575084793818,-0.013617047748994082,-0.13523094533957192,0.4166666666666667,-0.19644599622566603,0.3247941360841651,0.852980405909356,-0.8467502851458061,-1.1746666891735948,-0.6048323365504366,234.0,(in-sample конфигурация) 2026-01..06: -11.9%,2026-07..09: +1.0%,"library {""n"": 5, ""vn"": 20}"
356,LIB_134,P_XS_REV,FUT,1d,-0.010537130993422275,-0.01469700458983425,-0.10365952416759683,0.3333333333333333,-0.12796901254662232,0.23681930149177788,0.9041021773339215,-0.589507760016374,-0.8622420509286781,-0.5403656363333429,245.0,(in-sample конфигурация) 2026-01..06: -14.6%,2026-07..09: +0.4%,"library {""hold"": 1, ""k"": 1, ""n"": 10}"
357,LIB_125,P_XS_MOM,FUT,1d,-0.012200108183302897,-0.021638828606228344,-0.05845479761410388,0.3333333333333333,-0.14757250858523185,0.25309707322958275,0.891159399255591,-0.6758048388698301,-0.9141968301814613,-0.5830668316396127,246.0,(in-sample конфигурация) 2026-01..06: +3.6%,2026-07..09: -3.8%,"library {""hold"": 5, ""k"": 2, ""n"": 5}"
358,LIB_168,P_XS_MOM,EQ,1d,-0.014788475910203639,-0.022639278900896898,-0.060784295201301575,0.25,-0.1788814046098232,0.3092454003453895,0.8232424617556106,-0.9809254591708353,-1.530573840709277,-0.5784448351051767,250.0,(in-sample конфигурация) 2026-01..06: -12.9%,2026-07..09: +7.0%,"library {""hold"": 1, ""k"": 2, ""n"": 1}"
359,LIB_103,P_XS_REV,FUT,1d,-0.019216252027784247,-0.021527608958422206,-0.13653598766541108,0.3333333333333333,-0.23243978452807823,0.3688452948408667,0.824768017350522,-1.1229624748245297,-1.4709758872954422,-0.6301823224513714,243.0,(in-sample конфигурация) 2026-01..06: -27.4%,2026-07..09: -6.4%,"library {""hold"": 5, ""k"": 2, ""n"": 1}"
360,LIB_176,P_XS_MOM,EQ,1d,-0.018175941680055985,-0.037076679451274686,-0.07259248830087017,0.25,-0.21985619056195718,0.30543126894917805,0.7877519590365659,-1.2416479178326332,-1.9742397214666334,-0.7198221430253755,250.0,(in-sample конфигурация) 2026-01..06: -7.4%,2026-07..09: +1.8%,"library {""hold"": 1, ""k"": 4, ""n"": 1}"
361,LIB_032,P_TSMOM,EQ,1d,-0.032356608144255006,-0.025126984022790566,-0.18632483680266887,0.4166666666666667,-0.39138553211290855,0.5180498250338132,0.8187746719636788,-1.1505527143166807,-1.5272057697165917,-0.7554978559974664,250.0,(in-sample конфигурация) 2026-01..06: +0.6%,2026-07..09: +0.8%,"library {""n"": 5, ""vn"": 20}"
362,LIB_218,P_XS_REV,EQ,1d,-0.018820565649320997,-0.017538181113650353,-0.08422688630525954,0.4166666666666667,-0.2381313411027058,0.325854579154111,0.7804913419328242,-1.20168459768325,-1.8608371082206157,-0.7307902246482871,239.0,(in-sample конфигурация) 2026-01..06: -22.3%,2026-07..09: -4.2%,"library {""hold"": 1, ""k"": 2, ""n"": 20}"
