family,test_period,selected,train_score,test_sharpe,test_return,test_days
TF_EMA_CROSS,2026-04,"TF_EMA_CROSS|{""fast"": 6, ""slow"": 72}|1b9fc7370929",-11.479789678627107,-8.277637160383353,-0.4796947017273488,22
VOLU_BREAKOUT,2026-04,"VOLU_BREAKOUT|{""n"": 12, ""rv"": 3.0}|297432846773",-26.919549846458022,-31.543082707834063,-1.2124832919390431,22
VOL_SQUEEZE,2026-04,"VOL_SQUEEZE|{""lookback"": 120, ""n"": 24, ""pct"": 0.1}|297432846773",-17.05882523022005,-19.187056276582606,-0.5287381880101271,22
CONTROL_RANDOM,2026-05,"CONTROL_RANDOM|{""p"": 0.02, ""seed"": 2}|ab41097016d0",-16.12151305647126,-17.222723912351757,-0.5419500219642259,21
ID_ORB,2026-05,"ID_ORB|{""n_min"": 30}|297432846773",-34.424026696544075,-35.361760605684324,-0.9297462936705978,21
MR_RSI,2026-05,"MR_RSI|{""lo"": 5, ""n"": 2, ""trend_n"": 0}|ab41097016d0",-20.576692112738836,-16.123747592429247,-0.00041888628196834715,21
MR_VWAP,2026-05,"MR_VWAP|{""k"": 1.5}|ab41097016d0",-13.782497161889868,-14.39608687560933,-0.0002505957867736261,21
MR_ZSCORE,2026-05,"MR_ZSCORE|{""k"": 2.0, ""n"": 24}|ab41097016d0",-19.60209319207755,-20.135600389486854,-0.013158507252679898,21
TF_DONCHIAN,2026-05,"TF_DONCHIAN|{""n"": 12}|745d6d113e75",-12.371931000519496,-11.927907737167677,-1.8528828030083235e-09,21
TF_EMA_CROSS,2026-05,"TF_EMA_CROSS|{""fast"": 6, ""slow"": 72}|1b9fc7370929",-10.716424594520836,-18.086199786086944,-0.7705893461729311,21
VOLU_BREAKOUT,2026-05,"VOLU_BREAKOUT|{""n"": 12, ""rv"": 3.0}|297432846773",-26.012823852733053,-25.261449845584856,-0.6975480103631345,21
VOL_SQUEEZE,2026-05,"VOL_SQUEEZE|{""lookback"": 120, ""n"": 24, ""pct"": 0.1}|297432846773",-17.573114551222456,-12.261153155288007,-0.4132101773029582,21
