scenario,commission,trades,expectancy_R,gross_R,sharpe,total_return
ZERO,0.0,1499,-0.03025154792303928,-0.020109712040976356,-0.8971482460099581,-0.1893499193668989
NORMAL,0.00025,1509,-0.2441298802761109,-0.014805821071001963,-8.906024811728793,-1.7488051562732445
STRESS_1,0.00025,1518,-0.29032915617886107,-0.016678149673811045,-10.482619539877403,-2.0996474426772926
STRESS_2,0.00025,1542,-0.3303517322561629,-0.017910874683261784,-11.610941447176321,-2.429859812640898
NORMAL,0.0004,1509,-0.29790874535216605,-0.013939785320398,-10.70505725994681,-2.1418981013773446
NORMAL,0.0006,1509,-0.35738307646497386,-0.012977141503620651,-12.403745057234586,-2.5771030318611654
