code,secid,strategy,tag,direction,signal_id,entry_ts,exit_ts,trading_day,entry_ref,entry_price,exit_ref,exit_price,qty,entry_atr,initial_stop,final_stop,risk_money,gross_pnl,commission,spread_cost,slippage_cost,net_pnl,net_pnl_check,R,gross_R,exit_reason,bars_held,mae_R,mfe_R,partial
MX,MXZ5,TF_EMA_CROSS,TREND,SHORT,2025-10-24|MX|MXZ5|TREND|-1|1,2025-10-24 00:00:00+00:00,2025-11-20 00:00:00+00:00,2025-10-24,263075.0,263025.0,268500.0,268550.0,0.20806014602701348,7930.113074655058,286825.0,286825.0,5000.0,-1128.726292196548,27.649893031077422,5.2015036506753365,15.60451095202601,-1177.1821998303278,-1177.1821998303267,-0.23543643996606556,-0.2257452584393096,SIGNAL_EXIT,17,0.3422589402144372,0.525351868718209,False
MX,MXZ5,TF_EMA_CROSS,TREND,LONG,2025-11-21|MX|MXZ5|TREND|1|2,2025-11-21 00:00:00+00:00,2025-12-16 00:00:00+00:00,2025-11-21,266650.0,266700.0,277850.0,277800.0,0.25273778202377256,6513.9706083922165,247150.0,247150.0,5000.000000000001,2830.663158666253,34.40393057798604,6.318444550594314,18.95533365178294,2770.985449885893,2770.9854498858895,0.5541970899771785,0.5661326317332505,ROLL,17,0.1718616917761653,0.6672277445427595,False
MX,MXH6,TF_EMA_CROSS,TREND,LONG,2025-12-18|MX|MXH6|TREND|1|3,2025-12-18 00:00:00+00:00,2025-12-26 00:00:00+00:00,2025-12-18,284225.0,284275.0,277975.0,277925.0,0.29909426778358433,5487.01948957407,267800.0,267800.0,5000.0,-1869.339173647402,42.03769933698278,7.477356694589608,22.432070083768824,-1941.286299762749,-1941.2862997627433,-0.3882572599525498,-0.37386783472948043,SIGNAL_EXIT,5,0.41574103221918224,0.18543844602582227,False
MX,MXH6,TF_EMA_CROSS,TREND,LONG,2025-12-29|MX|MXH6|TREND|1|4,2025-12-29 00:00:00+00:00,2026-01-09 00:00:00+00:00,2025-12-29,282325.0,282375.0,277850.0,277800.0,0.334086419804643,4905.577074791763,267650.0,267650.0,5000.0,-1495.0367286257774,46.786715053516474,8.352160495116074,25.056481485348222,-1575.232085659765,-1575.2320856597582,-0.315046417131953,-0.29900734572515547,SIGNAL_EXIT,4,0.33241598770561975,0.40925586426068766,False
MX,MXH6,TF_EMA_CROSS,TREND,SHORT,2026-01-12|MX|MXH6|TREND|-1|5,2026-01-12 00:00:00+00:00,2026-01-20 00:00:00+00:00,2026-01-12,278225.0,278175.0,282700.0,282750.0,0.35300544422646357,4640.201823166601,292100.0,292100.0,5000.0,-1579.6993629134245,49.502394700682274,8.825136105661588,26.475408316984765,-1664.5023020367491,-1664.5023020367532,-0.33290046040734983,-0.3159398725826849,SIGNAL_EXIT,5,0.3865409614279776,0.20474315765134887,False
MX,MXH6,TF_EMA_CROSS,TREND,LONG,2026-01-21|MX|MXH6|TREND|1|6,2026-01-21 00:00:00+00:00,2026-02-06 00:00:00+00:00,2026-01-21,281525.0,281575.0,278575.0,278525.0,0.4035256031951157,4048.5010993885617,269425.0,269425.0,5000.0,-1190.4005294255915,56.50367258739608,10.088140079877892,30.264420239633676,-1287.256762332503,-1287.256762332499,-0.25745135246650064,-0.2380801058851183,SIGNAL_EXIT,11,0.3187852265241414,0.7788044141665733,False
MX,MXH6,TF_EMA_CROSS,TREND,SHORT,2026-02-09|MX|MXH6|TREND|-1|7,2026-02-09 00:00:00+00:00,2026-02-24 00:00:00+00:00,2026-02-09,278550.0,278500.0,282650.0,282700.0,0.4076890148194957,4007.795947150194,290525.0,290525.0,5000.0,-1671.5249607599324,57.19876877917525,10.192225370487392,30.576676111462177,-1769.4926310210485,-1769.4926310210572,-0.3538985262042097,-0.33430499215198645,SIGNAL_EXIT,10,0.4280734655604705,0.2405365187435025,False
MX,MXH6,TF_EMA_CROSS,TREND,LONG,2026-02-25|MX|MXH6|TREND|1|8,2026-02-25 00:00:00+00:00,2026-03-17 00:00:00+00:00,2026-02-25,280675.0,280725.0,285750.0,285700.0,0.4942976586355655,3290.1475596824475,270850.0,270850.0,5000.0,2508.560617575495,69.99563782316255,12.357441465889138,37.072324397667415,2389.1352138887696,2389.135213888776,0.4778270427777539,0.501712123515099,ROLL,14,0.02224339463860045,1.2011433104844242,False
MX,MXM6,TF_EMA_CROSS,TREND,LONG,2026-03-19|MX|MXM6|TREND|1|9,2026-03-19 00:00:00+00:00,2026-03-24 00:00:00+00:00,2026-03-19,296300.0,296350.0,289425.0,289375.0,0.4867044511555581,3337.9869569845387,286325.0,286325.0,5000.0,-3346.093101694462,71.26874116327232,12.167611278888952,36.50283383666685,-3466.032287973292,-3466.0322879732903,-0.6932064575946584,-0.6692186203388923,SIGNAL_EXIT,2,0.8371316559875599,0.14114429083511187,False
MX,MXM6,TF_EMA_CROSS,TREND,SHORT,2026-03-25|MX|MXM6|TREND|-1|10,2026-03-25 00:00:00+00:00,2026-06-16 00:00:00+00:00,2026-03-25,290025.0,289975.0,249175.0,249225.0,0.46970463798102163,3462.1133246156655,300375.0,300375.0,5000.0,19187.434461524736,63.31618519984172,11.742615949525542,35.22784784857662,19077.147812526808,19077.147812526793,3.8154295625053614,3.837486892304947,ROLL,59,0.1409113913943065,3.9666556677497278,False
MX,MXU6,TF_EMA_CROSS,TREND,SHORT,2026-06-18|MX|MXU6|TREND|-1|11,2026-06-18 00:00:00+00:00,2026-07-28 00:00:00+00:00,2026-06-18,248000.0,247950.0,225250.0,225299.99999999997,0.3710857412159366,4415.002383708013,261200.0,261200.0,5000.0,8442.200612662558,43.9040817576105,9.277143530398416,27.831430591195247,8361.18795678336,8361.187956783355,1.672237591356672,1.6884401225325116,SIGNAL_EXIT,27,0.0037108574121593662,4.180280874797526,False
MX,MXU6,TF_EMA_CROSS,TREND,LONG,2026-07-29|MX|MXU6|TREND|1|12,2026-07-29 00:00:00+00:00,2026-08-17 00:00:00+00:00,2026-07-29,224200.0,224250.0,216500.0,216450.0,0.20253472204641082,8151.111360431142,199775.0,199775.0,5000.0,-1559.5173597573632,22.314263001463313,5.06336805116027,15.19010415348081,-1602.0850949634703,-1602.0850949634678,-0.32041701899269404,-0.31190347195147267,SIGNAL_EXIT,12,0.3584864580221471,0.5073494787262591,False
MX,MXU6,TF_EMA_CROSS,TREND,SHORT,2026-08-18|MX|MXU6|TREND|-1|13,2026-08-18 00:00:00+00:00,2026-09-04 00:00:00+00:00,2026-08-18,213000.0,212950.0,225949.99999999997,226000.0,0.23830545755243615,6919.554340990686,233725.0,233725.0,5000.0,-3086.0556753040482,26.151045148160463,5.957636438810904,17.87290931643271,-3136.037266207453,-3136.0372662074524,-0.6272074532414905,-0.6172111350608096,SIGNAL_EXIT,12,0.6469993172548641,0.31694625854474007,False
MX,MXU6,TF_EMA_CROSS,TREND,LONG,2026-09-07|MX|MXU6|TREND|1|14,2026-09-07 00:00:00+00:00,2026-09-15 00:00:00+00:00,2026-09-07,227275.0,227325.0,233350.0,233300.0,0.24920674378369354,6613.385061254794,207475.0,207475.0,5000.0,1513.9309684859381,28.69771408884096,6.230168594592338,18.690505783777013,1460.3125800187265,1460.3125800187277,0.29206251600374533,0.3027861936971876,ROLL,6,0.2093336647783026,0.5694374095457397,False
