/home/user/invest_strategy/scripts/deep/a05_persistence.py:54: RuntimeWarning: Mean of empty slice
  ens_oos_mean=np.nanmean(ens), ens_pos_months=int(np.sum(np.array(ens) > 0)))
             family  tf  cls  configs  ic_mean  ic_pos_months  top_minus_bottom  ens_oos_mean  ens_pos_months  ens_202601  ens_202602  ens_202603  ens_202604  ens_202605  ens_202606
220           T_ADX  1440  FUT     1944    0.075              4             1.880         1.647               6       1.393       0.216       2.633       1.279       1.597       2.761
256    T_DONCH_STOP  1440  FUT     1620    0.073              4             0.610         1.285               4       1.319      -0.749       1.666      -0.491       1.234       4.729
74          M_TSMOM  1440  FUT     5832    0.016              3             0.606         1.268               4       1.919      -0.430       0.660      -0.242       1.128       4.575
238         T_DONCH  1440  FUT     1620    0.030              2             1.080         1.215               4       1.067      -0.890       1.410      -0.160       1.694       4.170
0           C_CARRY  1440  FUT      162    0.106              4            -0.625         1.194               3      -0.568      -0.037      -2.785       2.934       3.172       4.448
364    T_SUPERTREND  1440  FUT     2916   -0.002              3            -0.146         1.036               5       0.777      -0.321       0.169       0.349       0.932       4.313
400           U_OBV  1440  FUT      648    0.071              4             0.530         0.984               5       0.571      -0.772       0.982       0.277       0.801       4.042
274         T_EMA_X  1440  FUT     5508    0.131              4             0.649         0.893               6       0.554       0.145       0.504       0.391       1.133       2.632
292           T_HMA  1440  FUT     1620    0.025              3             0.305         0.844               5       0.469      -1.541       1.979       0.466       0.141       3.551
346      T_PRICE_MA  1440  FUT     3240    0.226              4             3.165         0.839               5       0.057      -0.374       0.029       1.182       1.024       3.117
382  U_BAR_PRESSURE  1440  FUT     1296    0.045              3             0.334         0.565               4       0.095       0.701      -0.543       1.498      -0.653       2.291
454      V_NR_BREAK  1440  FUT      972    0.015              2             0.181         0.521               3       1.538      -0.996      -0.164      -0.601       0.797       2.549
506       V_SQUEEZE    60  FUT     2592    0.068              3            -0.279         0.471               4      -0.874      -3.101       2.778       1.304       0.958       1.762
436     U_VOL_BREAK  1440  FUT     1296   -0.045              2            -0.785         0.283               2         NaN         NaN      -3.689      -0.769       0.990       4.601
488  V_REGIME_TREND    60  FUT     1944    0.150              5             4.664         0.216               3         NaN      -4.681       0.437       1.431      -0.503       4.394
504       V_SQUEEZE    30  FUT     2592    0.005              3            -0.448         0.205               4       1.008      -2.654       2.348       0.375      -1.083       1.236
