procedure,months,total,sharpe,pmr,m_min,m_mean,m_median,mdd,m202601,m202602,m202603,m202604,m202605,m202606
sharpe_k10_pmr08,6,-0.26142005467254115,-2.7072931297464544,0.16666666666666666,-0.09284494336658464,-0.043570009112090184,-0.04067412383140975,0.3136022779450826,-0.0164,0.005,-0.0928,-0.0759,-0.0315,-0.0499
score_k10_h60,6,-0.2526361565083327,-2.7403561808904127,0.16666666666666666,-0.12457584948159482,-0.042106026084722116,-0.04066315441480871,0.3363306712763844,0.0241,-0.0429,-0.1246,-0.0575,-0.0134,-0.0384
score_k5,6,-0.2193597775204647,-2.962338784672845,0.0,-0.07642202832642701,-0.03655996292007745,-0.033447769574003555,0.27626806442224916,-0.002,-0.0624,-0.0764,-0.0223,-0.0116,-0.0446
sharpe_k10_h60,6,-0.28483443198424596,-2.9878173978625733,0.16666666666666666,-0.1590542336415098,-0.047472405330707644,-0.026811646029210344,0.3032695528661178,-0.0335,-0.0201,-0.1591,-0.0086,0.0011,-0.0646
sharpe_k20,6,-0.2581463587922663,-3.128130850740757,0.16666666666666666,-0.09280589749153481,-0.04302439313204437,-0.037770452198642446,0.28126608902906225,-0.0319,-0.0436,-0.0928,-0.0605,-0.0305,0.0012
score_k10_mr,6,-0.2809924804789645,-3.223692754825959,0.16666666666666666,-0.12978049321808421,-0.046832080079827414,-0.042364783833993835,0.3365430176586398,-0.0048,0.0092,-0.1298,-0.0531,-0.0316,-0.0709
pmr_k20,6,-0.3327749370994244,-3.2401245790371807,0.0,-0.09455306616840109,-0.05546248951657073,-0.0521342295767538,0.40491900999929165,-0.024,-0.0502,-0.0946,-0.0688,-0.0411,-0.0541
sharpe_k30_c05,6,-0.304694197084585,-3.2958044277933083,0.16666666666666666,-0.15197064630299864,-0.050782366180764156,-0.04202609829838093,0.34509479869817783,-0.0441,-0.0263,-0.152,-0.0474,-0.04,0.0051
sharpe_k10_eq,6,-0.2899172740843047,-3.4313827229165836,0.0,-0.09556375136549246,-0.04831954568071744,-0.039866458988161504,0.3324657403420298,-0.0956,-0.0291,-0.0061,-0.0794,-0.0436,-0.0361
calmar_k10,6,-0.39365543964523086,-3.484801400501214,0.16666666666666666,-0.22496055911665483,-0.06560923994087181,-0.05851253658230596,0.4592268735406647,-0.0144,-0.0559,-0.225,-0.0611,0.0573,-0.0946
floor_k20,6,-0.3266559832776218,-3.624844589673237,0.16666666666666666,-0.11410820692209991,-0.05444266387960362,-0.05721339107018974,0.38962146259620434,-0.0377,-0.0363,-0.0767,-0.1141,-0.078,0.0162
score_k10_fut,6,-0.35986098458897,-3.684544907103244,0.0,-0.1877619094383525,-0.05997683076482833,-0.03964860773675566,0.4469521616984312,-0.0049,-0.0438,-0.1878,-0.075,-0.013,-0.0355
sharpe_k10_mr,6,-0.384132320887333,-3.7314301692482568,0.0,-0.12214641058462963,-0.06402205348122218,-0.06002487179103969,0.39540690119738386,-0.0532,-0.0394,-0.0775,-0.0669,-0.025,-0.1221
score_k20,6,-0.356112570437747,-3.7734703286152262,0.0,-0.19687369651429634,-0.059352095072957835,-0.03612259298972084,0.4270860151379154,-0.009,-0.0455,-0.1969,-0.0361,-0.0325,-0.0361
score_k30_c05,6,-0.4480521676703411,-4.095083570602483,0.0,-0.15791452418482244,-0.0746753612783902,-0.06480603987177672,0.525913906374156,-0.0171,-0.057,-0.1579,-0.0865,-0.0591,-0.0705
calmar_k20,6,-0.47522896537033393,-4.653123177414956,0.16666666666666666,-0.21475799583060226,-0.07920482756172235,-0.07559320403032807,0.5149815747313308,-0.0152,-0.0495,-0.2148,-0.1066,0.0125,-0.1017
