construction,haircut,dev_sharpe,kelly,chosen_scale,risk_per_trade,growth_12m_p50,growth_12m_p05,monthly_p50,p_dd_gt_25,p_halt_30,maxdd_p50,maxdd_p95,p_loss_12m
A_ema_only,0.5,1.2679411091330282,8.9,3.0,0.015,0.1032976235227594,-0.15221670965199174,0.008225607161208792,0.0045,0.0,-0.1395035710357112,-0.21324352232831797,0.29475
A_ema_only,1.0,1.2679411091330282,17.150000000000002,4.5,0.0225,0.3545626259794261,-0.10143228370373714,0.02561238682367306,0.03,0.001,-0.17147693698781902,-0.24070766622360174,0.1325
B_equal_risk,0.5,0.9348117734445742,7.75,3.0,0.015,0.06394259277644343,-0.15279889678886527,0.00517848183507974,0.00125,0.0,-0.12894881644955214,-0.20374947849448785,0.3465
B_equal_risk,1.0,0.9348117734445742,15.150000000000002,4.5,0.0225,0.20431310847150153,-0.1379247992931314,0.015613077607151915,0.0245,0.00075,-0.1626858601836627,-0.2363616314263138,0.2185
C_inverse_vol,0.5,0.9163458163634155,7.6000000000000005,3.0,0.015,0.06160842752672946,-0.15368264118374975,0.004994526482243966,0.00125,0.0,-0.12956098766131247,-0.20419735782962734,0.35125
C_inverse_vol,1.0,0.9163458163634155,14.950000000000001,4.5,0.0225,0.1963080199687115,-0.14286950282470257,0.015048790042479832,0.02625,0.00075,-0.16408753910208346,-0.23738760384936666,0.225
