construction,haircut,scale,risk_per_trade,growth_12m_p50,growth_12m_p05,growth_12m_p95,monthly_p50,p_dd_gt_25,p_halt_30,maxdd_p50,maxdd_p95,p_loss_12m,worst_month_p50,half_kelly
A_ema_only,0.5,19.0,0.095,-0.12481316547491361,-0.34136143298276844,0.7235889029536904,-0.011048338001343527,1.0,0.9995,-0.3284882883398442,-0.3827861343648601,0.6445,-0.18179950249654137,4.45
A_ema_only,0.5,19.5,0.0975,-0.13851709714225335,-0.34933890725149985,0.6871767443155432,-0.012348134071979766,1.0,1.0,-0.3362523909670273,-0.3862339074355219,0.656,-0.18321136301443108,4.45
A_ema_only,0.5,20.0,0.1,-0.14200120614597345,-0.35079926582926624,0.6915087437852074,-0.012681617362808928,1.0,0.99975,-0.3439713486704493,-0.38852530296556254,0.65875,-0.18420888843098665,4.45
A_ema_only,1.0,0.5,0.0025,0.04468634891131229,-0.00032722414463270955,0.09264367878718271,0.0036497019832650857,0.0,0.0,-0.019455498852469777,-0.03370152010003133,0.0505,-0.008637167172140359,8.575000000000001
A_ema_only,1.0,1.0,0.005,0.09015127622194585,-0.0019000896955483348,0.19220570915676616,0.0072189713916266385,0.0,0.0,-0.03873790852865905,-0.06666109519128664,0.0545,-0.017313770849769428,8.575000000000001
A_ema_only,1.0,1.5,0.0075,0.13599430744772656,-0.004567009976223391,0.2990132232921614,0.010682345588132636,0.0,0.0,-0.057873528114467054,-0.09908899038335912,0.05725,-0.025996306453256735,8.575000000000001
A_ema_only,1.0,2.0,0.01,0.1821110975465876,-0.010440942732991676,0.41343970924606843,0.014039465960260067,0.0,0.0,-0.0768571797130071,-0.13076747074878334,0.06075,-0.03472214671547058,8.575000000000001
A_ema_only,1.0,2.5,0.0125,0.22813298772807267,-0.024101377522106726,0.5354745297879864,0.01727205975140711,0.0,0.0,-0.09567564305057397,-0.16399859036881959,0.07075,-0.04348140236100484,8.575000000000001
A_ema_only,1.0,3.0,0.015,0.2726481012089055,-0.048937081710188846,0.6662980020397644,0.020294849904165524,0.00025,0.0,-0.11427408015301194,-0.18852360153457867,0.08575,-0.05234244274462885,8.575000000000001
A_ema_only,1.0,3.5,0.0175,0.30709737174927443,-0.07278111055166181,0.8016888676165725,0.022568307398084686,0.0025,0.0,-0.13260982699447454,-0.20520745416203226,0.10575,-0.061322728823712924,8.575000000000001
A_ema_only,1.0,4.0,0.02,0.33643854707713183,-0.09061348469697739,0.9393969407171996,0.02446175362652747,0.0095,0.0,-0.15096209129270405,-0.22302002289441467,0.1185,-0.07021667743144483,8.575000000000001
A_ema_only,1.0,4.5,0.0225,0.3545626259794261,-0.10143228370373714,1.0781368629330412,0.02561238682367306,0.03,0.001,-0.17147693698781902,-0.24070766622360174,0.1325,-0.07858233567124301,8.575000000000001
A_ema_only,1.0,5.0,0.025,0.3581248250495439,-0.1183741661345249,1.215367840278371,0.02583687744919927,0.0665,0.005,-0.1876498413593492,-0.25618531892882523,0.148,-0.08650019472882031,8.575000000000001
A_ema_only,1.0,5.5,0.0275,0.3690604587865369,-0.13066064475249073,1.35508283201656,0.026522687470030393,0.11875,0.013,-0.2015535690612152,-0.2707346296139994,0.154,-0.09306713529389382,8.575000000000001
A_ema_only,1.0,6.0,0.03,0.31868792749524566,-0.15399138201459595,1.3662319178781166,0.023320880530970367,0.20325,0.03225,-0.2208579389736804,-0.28890960934106535,0.18925,-0.10117301343733215,8.575000000000001
A_ema_only,1.0,6.5,0.0325,0.3001883910097023,-0.1646014224943836,1.4061520264729,0.022116793061638162,0.296,0.058,-0.2323849447301083,-0.30056213773591717,0.2015,-0.10667938932046389,8.575000000000001
A_ema_only,1.0,7.0,0.035,0.32225759717065694,-0.18115932333842333,1.5600287944248739,0.023551437554137244,0.39375,0.08925,-0.2407312215961332,-0.30376131292844727,0.2055,-0.11185321684975164,8.575000000000001
A_ema_only,1.0,7.5,0.0375,0.3441693319603538,-0.20002647495445847,1.7304881150054627,0.02495429235042046,0.49925,0.13275,-0.24991618917410263,-0.30674070802705533,0.20925,-0.11685523266591369,8.575000000000001
A_ema_only,1.0,8.0,0.04,0.31862488334015726,-0.2233668681729345,1.7640127719179235,0.023316803510380346,0.607,0.19075,-0.26012670927316134,-0.3103053875122446,0.23825,-0.12320871826236851,8.575000000000001
A_ema_only,1.0,8.5,0.0425,0.3105924208783366,-0.24374148385801953,1.876192166944771,0.022795882509323295,0.71775,0.25575,-0.2704115098826909,-0.3147138680895131,0.255,-0.12681512362156455,8.575000000000001
A_ema_only,1.0,9.0,0.045,0.25888901541177756,-0.2569252072969035,1.8551973753147277,0.019371030008436874,0.80425,0.3485,-0.2822466350760063,-0.31908650249211573,0.2885,-0.1337696620643773,8.575000000000001
A_ema_only,1.0,9.5,0.0475,0.23013544407701692,-0.26876054101512215,1.9359160576124514,0.01741017740657158,0.918,0.433,-0.2924716379767814,-0.32421725395757667,0.30475,-0.13804936611867508,8.575000000000001
