code,secid,strategy,tag,direction,signal_id,entry_ts,exit_ts,trading_day,entry_ref,entry_price,exit_ref,exit_price,qty,entry_atr,initial_stop,final_stop,risk_money,gross_pnl,commission,spread_cost,slippage_cost,net_pnl,net_pnl_check,R,gross_R,exit_reason,bars_held,mae_R,mfe_R,partial
TF_EMA_CROSS:SR,SRM6,TF_EMA_CROSS:SR,TF_EMA_CROSS,SHORT,2026-05-22|TF_EMA_CROSS:SR|SRM6|TF_EMA_CROSS|-1|86,2026-05-22 00:00:00+00:00,2026-06-16 00:00:00+00:00,2026-05-22,32686.0,32684.0,32078.0,32080.0,14,368.11102787273774,33789.0,33789.0,15754.788,8512.0,226.674,14.0,42.0,8229.326,8229.326,0.5223380981070642,0.5402801992638682,ROLL,17,0.27991490586861595,0.7411080364902403,False
TF_EMA_CROSS:GZ,GZM6,TF_EMA_CROSS:GZ,TF_EMA_CROSS,SHORT,2026-04-10|TF_EMA_CROSS:GZ|GZM6|TF_EMA_CROSS|-1|78,2026-04-10 00:00:00+00:00,2026-06-16 00:00:00+00:00,2026-04-10,13279.0,13277.0,11171.0,11173.0,15,330.8882301116412,14270.0,14270.0,15054.5775,31620.0,91.6875,15.0,45.0,31468.3125,31468.3125,2.090282008910579,2.1003578479701606,ROLL,47,0.22219155602340884,2.1471874584324935,False
TF_EMA_CROSS:CR,CRU6,TF_EMA_CROSS:CR,TF_EMA_CROSS,SHORT,2026-06-18|TF_EMA_CROSS:CR|CRU6|TF_EMA_CROSS|-1|96,2026-06-18 00:00:00+00:00,2026-06-22 00:00:00+00:00,2026-06-18,11.067,11.065,11.066,11.068,35,0.15407554173277468,11.528,11.528,16538.63750000008,34.9999999999806,193.66375,35.0,104.99999999998458,-298.6637500000182,-298.663750000004,-0.018058546237561392,0.002116256553780832,SIGNAL_EXIT,1,0.14813795876474092,0.19046308984038013,False
TF_EMA_CROSS:Si,SiU6,TF_EMA_CROSS:Si,TF_EMA_CROSS,SHORT,2026-06-18|TF_EMA_CROSS:Si|SiU6|TF_EMA_CROSS|-1|97,2026-06-18 00:00:00+00:00,2026-06-22 00:00:00+00:00,2026-06-18,75206.0,75204.0,75386.0,75388.0,4,1113.7407174497614,78546.0,78546.0,13534.408,-720.0,150.592,4.0,12.0,-886.592,-886.592,-0.0655065223392113,-0.0531977460706076,SIGNAL_EXIT,1,0.1465893447278965,0.11762612742278791,False
TF_EMA_CROSS:BR,BRN6,TF_EMA_CROSS:BR,TF_EMA_CROSS,SHORT,2026-06-01|TF_EMA_CROSS:BR|BRN6|TF_EMA_CROSS|-1|89,2026-06-01 00:00:00+00:00,2026-06-29 00:00:00+00:00,2026-06-01,92.19,92.17,72.89,72.91,1,5.6697644710434805,109.18,109.18,14515.550641844999,16386.800099999997,35.04058239,8.49057,25.471709999993244,16317.797237610004,16317.797237610004,1.1241597125891691,1.1289134325197845,ROLL,20,0.4100353969929376,1.2108035260704426,False
TF_EMA_CROSS:BR,BRQ6,TF_EMA_CROSS:BR,TF_EMA_CROSS,SHORT,2026-07-01|TF_EMA_CROSS:BR|BRQ6|TF_EMA_CROSS|-1|103,2026-07-01 00:00:00+00:00,2026-07-14 00:00:00+00:00,2026-07-01,73.42,73.4,85.23,85.26,1,3.9426569797293767,85.23,85.23,10109.466981899992,-10027.363170000002,33.677845905000005,8.49057,33.96227999999759,-10103.493865905,-10103.493865905,-0.9994091561893732,-0.9918785221765907,INITIAL_STOP,8,0.8961341093669948,0.23348198913216955,False
TF_EMA_CROSS:MX,MXU6,TF_EMA_CROSS:MX,TF_EMA_CROSS,SHORT,2026-06-18|TF_EMA_CROSS:MX|MXU6|TF_EMA_CROSS|-1|94,2026-06-18 00:00:00+00:00,2026-07-21 00:00:00+00:00,2026-06-18,248000.0,247950.0,208250.0,208300.0,1,4415.002383708013,261200.0,261200.0,13473.975,39750.0,114.0625,25.0,75.0,39535.9375,39535.9375,2.934244534370889,2.950131642666696,DAILY_LOSS_LIMIT,22,0.0037108574121593662,4.180280874797527,False
TF_EMA_CROSS:RN,RNU6,TF_EMA_CROSS:RN,TF_EMA_CROSS,SHORT,2026-06-18|TF_EMA_CROSS:RN|RNU6|TF_EMA_CROSS|-1|95,2026-06-18 00:00:00+00:00,2026-07-21 00:00:00+00:00,2026-06-18,34660.0,34658.0,33130.0,33132.0,5,1006.5627528917067,37678.0,37678.0,15206.645,7650.0,84.7375,5.0,15.0,7545.2625,7545.2625,0.49618193230656726,0.5030695462411334,DAILY_LOSS_LIMIT,22,0.0341955769993973,1.7581129828440132,False
TF_EMA_CROSS:CR,CRU6,TF_EMA_CROSS:CR,TF_EMA_CROSS,LONG,2026-06-23|TF_EMA_CROSS:CR|CRU6|TF_EMA_CROSS|1|101,2026-06-23 00:00:00+00:00,2026-07-21 00:00:00+00:00,2026-06-23,11.294,11.296,11.78,11.778,36,0.1577416053888142,10.822,10.822,17411.32799999993,17495.99999999996,207.666,36.0,107.99999999992019,17144.334000000086,17144.33400000004,0.9846655005293196,1.0048630408892436,DAILY_LOSS_LIMIT,19,0.2936019584491201,1.3770345375148931,False
TF_EMA_CROSS:Si,SiU6,TF_EMA_CROSS:Si,TF_EMA_CROSS,LONG,2026-06-23|TF_EMA_CROSS:Si|SiU6|TF_EMA_CROSS|1|102,2026-06-23 00:00:00+00:00,2026-07-21 00:00:00+00:00,2026-06-23,76560.0,76562.0,79899.0,79897.0,5,1113.0730161214017,73222.0,73222.0,16911.405,16695.0,195.57375000000002,5.0,15.0,16479.42625,16479.42625,0.9744563653936501,0.9872036060871348,DAILY_LOSS_LIMIT,19,0.25367496077351354,1.3916643827050443,False
